L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
kash1277,Kashmiri,ra,Kashmiri - ~N/A~,28,28,28028
nucl1633,Nimboran,upsid,NIMBORAN - ~N/A~,12,6,12006
komi1268,Komi-Zyrian,ea,Komi-Zyrian - Komi-Zyrian (Syktyvkar),30,7,30007
west2632,Acoma,upsid,ACOMA - ~N/A~,39,12,39012
lepc1244,Lepcha,ra,Lepca - ~N/A~,26,10,26010
mund1320,Mundari,spa,Mundari - ~N/A~,32,5,32005
mala1464,Malayalam,ra,Malayalam - ~N/A~,30,13,30013
copa1236,Zoque (Copainalá),spa,Zoque - ~N/A~,26,6,26006
halk1245,Halkomelem (Upriver),ph,Chilliwak Halkomelem - ~N/A~,32,12,32012
kara1483,Karimojong,gm,Karimojong - ~N/A~,21,39,21039
ocai1244,Ocaina,saphon,Ocaina - ~N/A~,26,9,26009
biri1256,Biri,er,Wangan - ~N/A~,15,3,15003
ukra1253,Ukrainian,ea,Ukrainian - Ukrainian (Standard),35,6,35006
selk1253,Selkup,upsid,SELKUP - ~N/A~,18,16,18016
wira1265,Wirangu,er,Wirangu - ~N/A~,19,4,19004
kuvi1243,Kuvi,ea,Kuvi - ~N/A~,22,15,22015
viet1252,Vietnamese,spa,Vietnamese - ~N/A~,21,12,21012
nucl1634,Skou,ph,Skou - ~N/A~,13,7,13007
guga1239,Gugadj,er,Kukatj - ~N/A~,16,7,16007
nobi1240,Nobiin,upsid,NUBIAN - ~N/A~,16,5,16005
nene1249,Nenets,ea,Tundra Nenets - Tundra Nenets (Central-Eastern),26,9,26009
buli1254,Buli (in Ghana),gm,Buli - ~N/A~,23,13,23013
bamb1269,Bambara,aa,Bambara - ~N/A~,20,21,20021
tupu1244,Tupuri,gm,Tupuri - ~N/A~,28,24,28024
abip1241,Abipón,saphon,Abipon - ~N/A~,13,10,13010
narr1259,Ngarinyeri,er,Yaraldi - ~N/A~,20,5,20005
sanu1240,Sanuma,saphon,Sanömá of Kolulu - Sanömá of Kolulu,10,21,10021
nort2641,Kurmanji,upsid,KURDISH - ~N/A~,30,17,30017
russ1263,Russian,upsid,RUSSIAN - ~N/A~,33,5,33005
mind1253,Fuzhou,ea,Min Dong Chinese - Min Dong Chinese (Fuzhou),15,20,15020
beng1280,Bengali,upsid,BENGALI - ~N/A~,29,14,29014
nort2980,Quechua (Tarma),saphon,North Junín Quechua - San Pedro de Cajas dialect,19,6,19006
kham1282,Kham (Dege),ea,Nangchenpa Tibetan - ~N/A~,59,36,59036
