Source,Target,Id,Length,Type,Weight
orh, irq, 117, 0.3477272727272728, Undirected, 0.6522727272727272
orh, knd, 118, 0.36397058823529416, Undirected, 0.6360294117647058
orh, khm, 119, 0.47250000000000003, Undirected, 0.5275
hzb, ing, 127, 0.23684210526315785, Undirected, 0.7631578947368421
hzb, otm, 128, 0.48417721518987344, Undirected, 0.5158227848101266
hzb, hun, 129, 0.4434782608695652, Undirected, 0.5565217391304348
hzb, aco, 132, 0.4916666666666667, Undirected, 0.5083333333333333
hzb, brm, 133, 0.42660550458715596, Undirected, 0.573394495412844
hzb, nav, 134, 0.47580645161290325, Undirected, 0.5241935483870968
hzb, bur, 135, 0.375, Undirected, 0.625
hzb, irq, 137, 0.3954545454545455, Undirected, 0.6045454545454545
hzb, knd, 138, 0.3223684210526315, Undirected, 0.6776315789473685
