Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
Miri (Hill):,mrg,Tani,Sino-Tibetan,Eurasia,27.92,93.83,India
Miriwung,mep,Jarrakan,Jarrakan,Australia,-15.67,129,Australia
Mirniny,nju,Western Pama-Nyungan,Pama-Nyungan,Australia,-31,129,Australia
Mising,mrg,Tani,Sino-Tibetan,Eurasia,28.5,94.83,India
M�skito Coast English Creole,bzj,Creoles and Pidgins,other,North America,16.25,-88.83,Belize
Miwok (Lake),lmw,Miwok,Penutian,North America,38.92,-122.67,United States
Miwok (Southern Sierra),skd,Miwok,Penutian,North America,37.5,-120,United States
Mixe (Totontepec),mto,Mixe-Zoque,Mixe-Zoque,North America,17.25,-96,Mexico
Mixtec (Chalcatongo),mig,Mixtecan,Oto-Manguean,North America,17.05,-97.58,Mexico
Mixtec (Molinos),mig,Mixtecan,Oto-Manguean,North America,17,-97.58,Mexico
Mixtec (San Miguel el Grande),mig,Mixtecan,Oto-Manguean,North America,17.05,-97.57,Mexico
Mizo,lus,Kuki-Chin,Sino-Tibetan,Eurasia,23.17,92.83,Bangladesh
Mocov�,moc,South Guaicuruan,Guaicuruan,South America,-28,-60.5,Argentina
Mofu-Gudur,mif,Biu-Mandara,Afro-Asiatic,Africa,10.5,14,Cameroon
Moghol,mhj,Mongolic,Altaic,Eurasia,35,62,Afghanistan
Molala,mbe,Molala,Penutian,North America,44.5,-122.5,United States
Moldavian,ron,Romance,Indo-European,Eurasia,47,29,Moldova
Mongo,lol,Bantoid,Niger-Congo,Africa,0,21,Democratic Republic of Congo
Moor�,mos,Northern-Central Gur,Niger-Congo,Africa,12.83,-1.25,Burkina Faso
Mordvin (Erzya),myv,Mordvin,Uralic,Eurasia,53,45.5,Kazakhstan
Mordvin (Moksha),mdf,Mordvin,Uralic,Eurasia,54,44,Russia
Moro,mor,Heiban,Kordofanian,Africa,11,30.17,Sudan
Moru,mgd,Moru-Ma'di,Central Sudanic,Africa,4.75,29.75,South Sudan
Moset�n,cas,Mosetenan,Mosetenan,South America,-14.75,-67.83,Bolivia
Movima,mzp,Movima,Movima,South America,-13.83,-65.67,Bolivia
Mpongwe,mye,Bantoid,Niger-Congo,Africa,-1.25,9.5,Gabon
Mufian,aoj,Kombio-Arapesh,Torricelli,Papunesia,-3.5,143,Papua New Guinea
Muher,sgw,Semitic,Afro-Asiatic,Africa,8.17,38.17,Ethiopia
Muinane,bmr,Boran,Huitotoan,South America,-1,-72.5,Colombia
Muisca,chb,Chibcha-Duit,Chibchan,South America,5,-74,Colombia
Mumuye,mzm,Mumuye-Yandang,Niger-Congo,Africa,9,11.67,Nigeria
Muna,mnb,Celebic,Austronesian,Papunesia,-5,122.5,Indonesia
Mundang,mua,Mbumic,Niger-Congo,Africa,9.67,14.5,Chad
Mundani,mnf,Bantoid,Niger-Congo,Africa,5.67,9.92,Cameroon
Mundari,unr,Munda,Austro-Asiatic,Eurasia,23,84.67,India
M�nd�,muh,Ubangi,Niger-Congo,Africa,4.5,30,Democratic Republic of Congo
Munduruk�,myu,Munduruku,Tupian,South America,-7,-58,Brazil
Mungaka,mhk,Bantoid,Niger-Congo,Africa,5.92,10,Cameroon
Mupun,sur,West Chadic,Afro-Asiatic,Africa,9.5,8.83,Nigeria
Murle,mur,Surmic,Eastern Sudanic,Africa,6.5,33.5,South Sudan
Murrinh-Patha,mwf,Murrinh-Patha,Southern Daly,Australia,-14.67,129.67,Australia
Mursi,muz,Surmic,Eastern Sudanic,Africa,5.58,36.08,Ethiopia
Muruwari,zmu,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.75,147,Australia
Musqueam,hur,Central Salish,Salishan,North America,49.17,-123,Canada
Mwotlap,mlv,Oceanic,Austronesian,Papunesia,-13.58,167.58,Vanuatu
Nad�b,mbj,Nadahup,Nadahup,South America,-1,-66.5,Brazil
Nadroga,fij,Oceanic,Austronesian,Papunesia,-18.08,177.42,Fiji
Nafaanra,nfr,Senufo,Niger-Congo,Africa,8,-2.58,C�te d'Ivoire
Naga (Mao),nbi,Kuki-Chin,Sino-Tibetan,Eurasia,25.5,94.33,India
Naga (Tangkhul),nmf,Kuki-Chin,Sino-Tibetan,Eurasia,25,94.5,India
Naga Pidgin,nag,Creoles and Pidgins,other,Eurasia,25.67,94,India
Nahuatl (Michoac�n),ncl,Aztecan,Uto-Aztecan,North America,18.5,-103,Mexico
Nahuatl (North Puebla),ncj,Aztecan,Uto-Aztecan,North America,20,-98.25,Mexico
Nakkara,nck,Nakkara,Mangrida,Australia,-12.12,134.42,Australia
Nama,naq,Khoe-Kwadi,Khoe-Kwadi,Africa,-25.5,18,Namibia
Nambiku�ra (Southern),nab,Nambikuaran,Nambikuaran,South America,-14,-59.5,Brazil
Namia,nnm,Yellow River,Sepik,Papunesia,-3.83,141.75,Papua New Guinea
Nanai,gld,Tungusic,Altaic,Eurasia,49.5,137,Russia
Nancowry,ncb,Nicobarese,Austro-Asiatic,Eurasia,8.05,93.5,India
Nankina,nnk,Finisterre-Huon,Trans-New Guinea,Papunesia,-5.78,146.45,Papua New Guinea
Nara (in Ethiopia),nrb,Nara,Eastern Sudanic,Africa,15.08,37.58,Eritrea
Nar-Phu,npa,Bodic,Sino-Tibetan,Eurasia,28.67,84.25,Nepal
Nasioi,nas,East Bougainville,East Bougainville,Papunesia,-6.33,155.58,Papua New Guinea
Nateni,ntm,Northern-Central Gur,Niger-Congo,Africa,10.5,1.17,Benin
Nat�gu,ntu,Oceanic,Austronesian,Papunesia,-10.78,165.87,Solomon Islands
Navajo,nav,Athapaskan,Na-Dene,North America,36.17,-108,United States
Naxi,nxq,Naxi,Sino-Tibetan,Eurasia,27.5,100,China
Nc�m,bud,Northern-Central Gur,Niger-Congo,Africa,9.33,0.67,Togo
Ndj�bbana,djj,Ndj�bbana,Mangrida,Australia,-12.17,134.12,Australia
Ndogo,ndz,Ubangi,Niger-Congo,Africa,7.75,27,South Sudan
Ndonga,ndo,Bantoid,Niger-Congo,Africa,-18,17,Angola
Ndut,ndv,Cangin,Niger-Congo,Africa,14.92,-16.92,Senegal
Nenets,yrk,Samoyedic,Uralic,Eurasia,70,76,Russia
Nenets (Forest),yrk,Samoyedic,Uralic,Eurasia,69,72,Russia
Neo-Aramaic (Amadiya),cld,Semitic,Afro-Asiatic,Eurasia,37,43,Iraq
Neo-Aramaic (Persian Azerbaijan),trg,Semitic,Afro-Asiatic,Eurasia,38,47,Iran
Nevome,ood,Tepiman,Uto-Aztecan,North America,31,-112.5,Mexico
Newar (Dolakha),new,Mahakiranti,Sino-Tibetan,Eurasia,27.33,86,Nepal
Newari (Kathmandu),new,Mahakiranti,Sino-Tibetan,Eurasia,27.67,85.5,Nepal
Nez Perce,nez,Sahaptian,Penutian,North America,46,-116,United States
Ngaanyatjarra,ntj,Western Pama-Nyungan,Pama-Nyungan,Australia,-26,126.5,Australia
Ngad'a,nxg,Central Malayo-Polynesian,Austronesian,Papunesia,-8.83,121,Indonesia
Ngadjumaja,nju,Western Pama-Nyungan,Pama-Nyungan,Australia,-32.33,123.83,Australia
Ngalakan,nig,Ngalakan,Gunwinyguan,Australia,-14.25,134,Australia
Ngalkbun,ngk,Gunwinygic,Gunwinyguan,Australia,-13.5,134.83,Australia
Ngambay,sba,Bongo-Bagirmi,Central Sudanic,Africa,8.67,16,Chad
Nganasan,nio,Samoyedic,Uralic,Eurasia,71,93,Russia
Ngandi,nid,Ngandi,Gunwinyguan,Australia,-13.83,135,Australia
Ngan'gityemerri,nam,Ngankikurungkurr,Southern Daly,Australia,-14.25,130.42,Australia
Ngankikurungkurr,nam,Ngankikurungkurr,Southern Daly,Australia,-14,130.5,Australia
Ngarinyeri,nay,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-36,140,Australia
Ngarinyman,nbj,Western Pama-Nyungan,Pama-Nyungan,Australia,-16.5,130.5,Australia
Ngarla,nrk,Western Pama-Nyungan,Pama-Nyungan,Australia,-20,119,Australia
Ngarluma,nrl,Western Pama-Nyungan,Pama-Nyungan,Australia,-20.83,117.5,Australia
Ngawun,nxn,Northern Pama-Nyungan,Pama-Nyungan,Australia,-19,141.5,Australia
Ngbaka (Minagende),nga,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,3.5,20,Democratic Republic of Congo
Ngemba,nge,Bantoid,Niger-Congo,Africa,6.2,10,Cameroon
Ngiti,niy,Lendu,Central Sudanic,Africa,1.33,30.25,Democratic Republic of Congo
Ngiyambaa,wyb,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-31.75,145.5,Australia
Ngizim,ngi,West Chadic,Afro-Asiatic,Africa,12.08,10.92,Nigeria
Nias,nia,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,1,97.75,Indonesia
