glottocode,Phoneme,dataset
kota1263,n,spa
kota1263,pʰ,spa
kota1263,r,spa
kota1263,tʰ,spa
kota1263,t̠ʃʰ,spa
kota1263,t̪ʰ,spa
kota1263,v,spa
kota1263,ŋ,spa
kota1263,ɖ,spa
kota1263,ɡ,spa
kota1263,ɭ,spa
kota1263,ɳ,spa
kota1263,ɽ,spa
kota1263,ʂ,spa
kota1263,ʈʰ,spa
kota1263,a,spa
kota1263,aː,spa
kota1263,e̞,spa
kota1263,e̞ː,spa
kota1263,i,spa
kota1263,iː,spa
kota1263,o̞,spa
kota1263,o̞ː,spa
kota1263,u,spa
kota1263,uː,spa
kota1263,ə,spa
mund1320,b̤,spa
mund1320,d̠ʒ̤,spa
mund1320,d̤,spa
mund1320,h,spa
mund1320,j,spa
mund1320,k,spa
mund1320,kʰ,spa
mund1320,l,spa
mund1320,m,spa
mund1320,n,spa
mund1320,p,spa
mund1320,pʰ,spa
mund1320,r,spa
mund1320,s,spa
mund1320,t,spa
mund1320,tʰ,spa
mund1320,t̠ʃ,spa
mund1320,t̠ʃʰ,spa
mund1320,w,spa
mund1320,ŋː,spa
mund1320,ɖ̤,spa
mund1320,ɡ̤,spa
mund1320,ɭ,spa
mund1320,ɳ,spa
mund1320,ʈ,spa
mund1320,ʈʰ,spa
mund1320,ʔ,spa
mund1320,ˀb,spa
mund1320,ˀd,spa
mund1320,ˀd̠ʒ,spa
mund1320,ˀɖ,spa
mund1320,ˀɡ,spa
mund1320,a,spa
mund1320,e̞,spa
mund1320,o̞,spa
mund1320,ɪ,spa
mund1320,ʊ,spa
khar1287,b,spa
khar1287,b̤,spa
khar1287,d,spa
khar1287,d̠ʒ,spa
khar1287,d̠ʒ̤,spa
khar1287,d̤,spa
khar1287,j,spa
khar1287,k,spa
khar1287,kʰ,spa
khar1287,l,spa
khar1287,m,spa
khar1287,n,spa
khar1287,p,spa
khar1287,pʰ,spa
khar1287,s,spa
khar1287,t,spa
khar1287,tʰ,spa
khar1287,t̠ʃ,spa
khar1287,t̠ʃʰ,spa
khar1287,w,spa
khar1287,ŋ,spa
khar1287,ɖ,spa
khar1287,ɖ̤,spa
khar1287,ɡ,spa
khar1287,ɡ̤,spa
khar1287,ɦ,spa
khar1287,ɲ,spa
khar1287,ɽ,spa
khar1287,ɾ,spa
khar1287,ʈ,spa
khar1287,ʈʰ,spa
khar1287,a,spa
khar1287,ã,spa
khar1287,e,spa
khar1287,i,spa
khar1287,ĩ,spa
khar1287,o,spa
khar1287,õ,spa
khar1287,u,spa
khar1287,ũ,spa
khar1287,ɛ̃,spa
khas1269,b,spa
khas1269,d,spa
khas1269,d̠ʒ,spa
khas1269,h,spa
khas1269,k,spa
khas1269,kʰ,spa
khas1269,m,spa
khas1269,n,spa
khas1269,p,spa
khas1269,pʰ,spa
khas1269,r,spa
khas1269,s,spa
khas1269,t,spa
khas1269,tʰ,spa
khas1269,ŋ,spa
khas1269,ɭ,spa
khas1269,ɲ,spa
khas1269,ʃ,spa
khas1269,ʔ,spa
khas1269,a,spa
khas1269,aː,spa
khas1269,e,spa
khas1269,i,spa
khas1269,o,spa
khas1269,u,spa
khas1269,ə,spa
khas1269,ɪ̯,spa
khas1269,ʊ̯,spa
seda1262,h,spa
seda1262,j,spa
seda1262,k,spa
seda1262,kʰ,spa
seda1262,l,spa
seda1262,l̥,spa
seda1262,m,spa
seda1262,mb,spa
seda1262,m̥,spa
seda1262,n,spa
seda1262,nd,spa
