Name,glottocode,Genus,Family,Latitude,Longitude
"Poko-Rawo","rawo1244","Serra Hills","Skou",-2.83333333333,141.583333333
"Pare","asut1235","Bantoid","Niger-Congo",-4.0,36.5
"Purki","puri1258","Bodic","Sino-Tibetan",34.6666666667,76.0
"Patwin","patw1250","Wintuan","Penutian",39.0,-122.333333333
"Pawnee","pawn1254","Caddoan","Caddoan",41.0,-98.6666666667
"Quechua (Huallaga)","huam1248","Quechuan","Quechuan",-9.5,-75.5
"Sipakapense","sipa1247","Mayan","Mayan",15.25,-91.75
"Rawang","rawa1265","Nungish","Sino-Tibetan",27.5,97.5
"Remo","bond1245","Munda","Austro-Asiatic",18.0,82.0
"Runyankore","nyan1307","Bantoid","Niger-Congo",-0.5,30.5
"Rumu","rumu1243","Turama-Kikorian","Turama-Kikorian",-7.16666666667,144.25
"Runga","rung1258","Maban","Maban",10.3333333333,21.0
"Romani (Welsh)","wels1246","Indic","Indo-European",52.0,-4.0
"Sa'a","saaa1240","Oceanic","Austronesian",-9.61666666667,161.45
"Salinan","sali1253","Salinan","Salinan",36.0,-121.0
"Samoan","samo1305","Oceanic","Austronesian",-13.9166666667,-171.833333333
"Savi","savi1242","Indic","Indo-European",35.0,71.5
"Sema","sumi1235","Kuki-Chin","Sino-Tibetan",26.0,94.5
"Shilluk","shil1265","Nilotic","Eastern Sudanic",9.66666666667,31.75
"Shambala","sham1280","Bantoid","Niger-Congo",-4.25,38.25
"Shona","shon1251","Bantoid","Niger-Congo",-18.0,31.0
"Shatt","shat1244","Daju","Eastern Sudanic",10.8333333333,30.0
"Siane","sian1257","Eastern Highlands","Trans-New Guinea",-6.08333333333,145.2
"Sidaama","sida1246","Highland East Cushitic","Afro-Asiatic",6.66666666667,38.5
"Sisiqa","baba1268","Oceanic","Austronesian",-7.0,156.833333333
"Sikkimese","sikk1242","Bodic","Sino-Tibetan",27.8333333333,88.5
"Saliba (in Papua New Guinea)","sali1295","Oceanic","Austronesian",-10.5833333333,150.716666667
"Shina","shin1264","Indic","Indo-European",36.0,74.0
"Sinaugoro","sina1266","Oceanic","Austronesian",-9.83333333333,147.833333333
"So","sooo1256","Kuliak","Eastern Sudanic",2.58333333333,34.75
"Sobei","sobe1238","Oceanic","Austronesian",-1.91666666667,138.75
"Sonsorol-Tobi","sons1242","Oceanic","Austronesian",5.33333333333,132.25
"Sarcee","sars1236","Athapaskan","Na-Dene",52.5,-116.0
"Santali","sant1410","Munda","Austro-Asiatic",24.5,87.0
"Suki","suki1245","Suki","Gogodala-Suki",-8.0,141.75
"Takia","taki1248","Oceanic","Austronesian",-4.66666666667,146.0
"Tarao","tara1313","Kuki-Chin","Sino-Tibetan",24.25,94.1666666667
"Tariana","tari1256","Inland Northern Arawakan","Arawakan",1.0,-69.1666666667
"Tboli","tbol1240","Bilic","Austronesian",6.16666666667,124.5
"Tepehua (Huehuetla)","hueh1236","Totonacan","Totonacan",20.5,-98.0
"Tennet","tenn1246","Surmic","Eastern Sudanic",4.41666666667,32.5
"Teop","teop1238","Oceanic","Austronesian",-5.66666666667,155.0
"Tepehua (Tlachichilco)","tlac1235","Totonacan","Totonacan",20.5833333333,-98.25
"Teso","teso1249","Nilotic","Eastern Sudanic",1.83333333333,33.8333333333
"Tshangla","tsha1245","Bodic","Sino-Tibetan",27.8333333333,92.1666666667
"Thangmi","than1259","Mahakiranti","Sino-Tibetan",27.75,86.0
"Kuuk Thaayorre","thay1249","Northern Pama-Nyungan","Pama-Nyungan",-14.5833333333,141.833333333
"Timugon","timu1262","North Borneo","Austronesian",5.0,116.0
"Tiriyo","trio1238","Cariban","Cariban",3.25,-55.75
"Tamil","tami1289","Southern Dravidian","Dravidian",11.0,78.5
"Turkana","turk1308","Nilotic","Eastern Sudanic",3.0,35.5
"Tanacross","tana1290","Athapaskan","Na-Dene",63.5,-143.5
"Tunen","tune1261","Bantoid","Niger-Congo",4.75,10.6666666667
"Tenyer","west2466","Senufo","Niger-Congo",10.6666666667,-4.5
"Toba","toba1269","South Guaicuruan","Guaicuruan",-26.5,-59.0
"Tonga (in Zambia)","tong1318","Bantoid","Niger-Congo",-17.0,27.0
"Tepehuan (Northern)","nort2959","Tepiman","Uto-Aztecan",26.3333333333,-107.0
"Tapieté","tapi1253","Tupi-Guaraní","Tupian",-19.75,-61.6666666667
"Trique (Copala)","copa1237","Mixtecan","Oto-Manguean",17.1666666667,-97.9166666667
"Tirmaga","suri1267","Surmic","Eastern Sudanic",5.75,35.25
"Tairora","nort2920","Eastern Highlands","Trans-New Guinea",-6.5,146.0
"Tamashek","tama1365","Berber","Afro-Asiatic",20.0,-2.0
"Tutelo","tute1247","Core Siouan","Siouan",37.6666666667,-78.75
"Tucano","tuca1252","Tucanoan","Tucanoan",0.5,-69.1666666667
"Tuscarora","tusc1257","Northern Iroquoian","Iroquoian",36.0,-77.5
"Tarahumara (Western)","lowl1265","Tarahumaran","Uto-Aztecan",27.5,-108.0
"Totonac (Xicotepec de Juárez)","xico1235","Totonacan","Totonacan",20.4166666667,-97.8333333333
"Tzutujil","tzut1248","Mayan","Mayan",14.6666666667,-91.3333333333
"Udmurt","udmu1245","Permic","Uralic",57.5,52.5
"Ukrainian","ukra1253","Slavic","Indo-European",49.0,33.0
"Uldeme","wuzl1236","Biu-Mandara","Afro-Asiatic",10.95,14.1166666667
"Urdu","urdu1245","Indic","Indo-European",25.0,67.0
"Urak Lawoi'","urak1238","Malayo-Sumbawan","Austronesian",8.0,98.3333333333
"Urarina","urar1246","Urarina","Urarina",-4.5,-75.5
