Name,glottocode,Genus,Family,Latitude,Longitude
"Amarakaeri","amar1274","Harakmbet","Harakmbet",-12.5,-70.5
"Biatah","biat1246","Land Dayak","Austronesian",1.25,110.0
"Sama (Southern)","sout2918","Sama-Bajaw","Austronesian",4.5,118.5
"Baragaunle","lowa1242","Bodic","Sino-Tibetan",28.8333333333,83.8333333333
"Cham (Eastern)","east2563","Malayo-Sumbawan","Austronesian",11.3333333333,108.5
"Carrier","carr1249","Athapaskan","Na-Dene",53.75,-123.5
"Culina","culi1244","Arauan","Arauan",-6.0,-70.5
"Datooga","dato1239","Nilotic","Eastern Sudanic",-4.33333333333,35.3333333333
"Dení","deni1241","Arauan","Arauan",-6.0,-67.0
"Hmong Daw","hmon1333","Hmong-Mien","Hmong-Mien",26.0,105.0
"Hyow","asho1236","Kuki-Chin","Sino-Tibetan",22.0833333333,92.4166666667
"Jahai","jeha1242","Aslian","Austro-Asiatic",5.75,101.5
"Komering","kome1238","Lampungic","Austronesian",-3.16666666667,104.916666667
"Kayan (Baram)","bara1370","North Borneo","Austronesian",3.5,114.5
"Keo","keoo1238","Central Malayo-Polynesian","Austronesian",-8.83333333333,121.25
"Khumi","khum1248","Kuki-Chin","Sino-Tibetan",21.9166666667,92.4166666667
"Kelabit","kela1258","North Borneo","Austronesian",3.66666666667,115.416666667
"Konua","rapo1238","West Bougainville","West Bougainville",-5.83333333333,154.833333333
"Korafe","kora1294","Binanderean","Trans-New Guinea",-9.05,149.083333333
"Ketapang","mala1479","Malayo-Sumbawan","Austronesian",-1.86666666667,110.0
"Lun Dayeh","lund1271","North Borneo","Austronesian",4.0,115.916666667
"Luri","nort2645","Iranian","Indo-European",33.5,48.5
"Mbugu","mbug1240","Southern Cushitic","Afro-Asiatic",-4.33333333333,38.1666666667
"Melanau","cent2101","North Borneo","Austronesian",2.5,111.5
"Mah Meri","besi1244","Aslian","Austro-Asiatic",2.83333333333,101.5
"Mali","mali1284","Baining","Baining",-4.83333333333,152.25
"Molala","mola1238","Molala","Penutian",44.5,-122.5
"Mandar","mand1442","South Sulawesi","Austronesian",-3.41666666667,119.083333333
"Magar (Syangja)","west2418","Mahakiranti","Sino-Tibetan",28.0833333333,83.8333333333
"Narom","naro1251","North Borneo","Austronesian",4.41666666667,114.0
"Orejón","orej1242","Tucanoan","Tucanoan",-2.83333333333,-72.5
"Paresi","pare1272","Central Arawakan","Arawakan",-14.0,-57.5
"Semandang","sema1269","Land Dayak","Austronesian",-0.75,110.5
"Tehit","tehi1237","West Bird's Head","West Papuan",-1.5,132.0
"Taulil","taul1251","Taulil","Taulil",-4.41666666667,152.083333333
"Terêna","tere1279","Bolivia-Parana","Arawakan",-20.0,-56.0
"Vafsi","vafs1240","Iranian","Indo-European",34.6666666667,49.9166666667
"Waigali","waig1243","Nuristani","Indo-European",35.0,71.25
"Waurá","waur1244","Central Arawakan","Arawakan",-13.0,-53.0
"Arabic (Borno Nigerian)","chad1249","Semitic","Afro-Asiatic",8.58333333333,12.4166666667
"Haisla","hais1244","Northern Wakashan","Wakashan",54.0,-128.75
"Alsea","alse1251","Alsea","Oregon Coast",44.6666666667,-123.916666667
"Amara","amar1272","Oceanic","Austronesian",-5.66666666667,148.5
"Aribwatsa","arib1241","Oceanic","Austronesian",-6.71666666667,147.0
"Atacameño","kunz1244","Kunza","Kunza",-23.0,-69.0
"Aekyom","aeky1238","Awin-Pare","Awin-Pare",-5.75,141.416666667
"Ayoreo","ayor1240","Zamucoan","Zamucoan",-20.25,-59.25
"Bau","bauu1244","Madang","Trans-New Guinea",-5.25,145.616666667
"Berber (Chaouia)","tach1249","Berber","Afro-Asiatic",35.0,7.0
"Bila","bila1255","Bantoid","Niger-Congo",1.0,28.75
"Boazi","kuni1265","Marind","Anim",-7.0,141.333333333
"Guajajara","guaj1255","Tupi-Guaraní","Tupian",-5.0,-46.0
"Garus","garu1246","Madang","Trans-New Guinea",-4.95,145.666666667
"Iwaidja","iwai1244","Iwaidjan","Iwaidjan",-11.5,132.666666667
"Jarawa (in Andamans)","jara1245","South Andamanese","South Andamanese",12.0,92.5833333333
"Mekeo","meke1243","Oceanic","Austronesian",-8.33333333333,146.5
"Maklew","makl1246","Bulaka River","Bulaka River",-7.66666666667,139.416666667
"Mambwe","mamb1296","Bantoid","Niger-Congo",-9.08333333333,31.1666666667
"Minaveha","mina1269","Oceanic","Austronesian",-9.6,150.466666667
"Mpur","mpur1239","Kebar","West Papuan",-0.75,133.25
"Bargam","barg1252","Madang","Trans-New Guinea",-4.88333333333,145.75
"Nehan","neha1247","Oceanic","Austronesian",-4.5,154.2
"Rikbaktsa","rikb1245","Rikbaktsa","Macro-Ge",-11.8333333333,-57.5
"Sena","nucl1396","Bantoid","Niger-Congo",-18.0,35.25
"Tetela","tete1250","Bantoid","Niger-Congo",-4.0,24.0
"Tumleo","tuml1238","Oceanic","Austronesian",-3.08333333333,142.416666667
"Wyandot","wyan1247","Northern Iroquoian","Iroquoian",44.3333333333,-77.5
"Xerénte","xere1240","Ge-Kaingang","Macro-Ge",-10.0,-48.1666666667
"Yaqay","yaqa1246","Marind","Anim",-6.58333333333,139.25
"Zenaga","zena1248","Berber","Afro-Asiatic",17.3333333333,-16.0
"Berik","beri1254","Tor","Tor-Orya",-2.25,138.833333333
"Kolana","wers1238","Kolana-Tanglapui","Timor-Alor-Pantar",-8.25,125.116666667
"Vata","lako1244","Kru","Niger-Congo",5.83333333333,-5.41666666667
"Wayana","waya1269","Cariban","Cariban",3.25,-54.1666666667
"!Xun (Ekoka)","kung1261","Ju-Kung","Kxa",-19.6666666667,18.0
"Aghu","aghu1255","Awju-Dumut","Trans-New Guinea",-6.16666666667,140.166666667
"Michif","mich1243","Algonquian","Algic",52.0,-100.166666667
"Ghulfan","ghul1238","Nubian","Eastern Sudanic",12.0,31.0
"Ngbaka (Ma'bo)","ngba1284","Ubangi","Niger-Congo",3.56,18.36
"Palor","palo1243","Cangin","Niger-Congo",14.8333333333,-16.75
"Parji (Dravidian)","duru1236","Central Dravidian","Dravidian",19.5,82.5
"Sranan","sran1240","Creoles and Pidgins","other",5.83333333333,-55.3333333333
"Serrano","serr1255","California Uto-Aztecan","Uto-Aztecan",34.5,-117.0
"Waropen","waro1242","South Halmahera - West New Guinea","Austronesian",-2.33333333333,136.583333333
"Gunbalang","kunb1251","Gunwinygic","Gunwinyguan",-12.0,134.0
"Monumbo","nucl1458","Monumbo","Monumbo",-4.25,145.0
"Popoloca (Metzontla)","mezo1235","Popolocan","Oto-Manguean",18.1666666667,-97.5
"Arabic (Tunisian)","tuni1259","Semitic","Afro-Asiatic",36.75,10.25
"Bongu","bong1291","Madang","Trans-New Guinea",-5.5,145.916666667
"Cheyenne","chey1247","Algonquian","Algic",47.0,-95.0
"Isekiri","isek1239","Defoid","Niger-Congo",5.66666666667,5.5
"Montagnais","mont1268","Algonquian","Algic",52.0,-65.0
"Tem","temm1241","Southern-Central Gur","Niger-Congo",8.66666666667,0.5
"Tangga","tang1348","Oceanic","Austronesian",-3.46666666667,153.2
"Aja","ajas1235","Kresh","Central Sudanic",7.33333333333,25.6666666667
"Allentiac","alle1238","Huarpe","Huarpe",-31.0,-68.0
"Awyi","awyi1241","Border","Border",-2.91666666667,140.583333333
"Babole","dibo1245","Bantoid","Niger-Congo",1.08333333333,17.25
"Bemba","bemb1257","Bantoid","Niger-Congo",-10.0,28.25
"Iatmul","iatm1242","Ndu","Sepik",-4.25,143.25
"Kambot","apma1241","Botin","Lower Sepik-Ramu",-4.25,144.133333333
"Kanum (Bädi)","badi1247","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers",-8.83333333333,140.75
"Kati (in West Papua, Indonesia)","yong1280","Ok","Trans-New Guinea",-5.75,140.916666667
"Kusunda","kusu1250","Kusunda","Kusunda",28.0,84.6666666667
"Matngele","madn1237","Eastern Daly","Eastern Daly",-13.8333333333,130.416666667
"Manem","mane1266","Border","Border",-3.0,140.833333333
"Magi","mail1248","Mailuan","Trans-New Guinea",-10.3333333333,149.333333333
"Moni","moni1261","Wissel Lakes-Kemandoga","Trans-New Guinea",-3.66666666667,137.0
"Mombum","nucl1452","Mombum","Mombum",-8.25,138.75
"Moraori","moro1289","Moraori","Moraori",-8.58333333333,140.666666667
"Maringarr","mari1419","Bringen","Western Daly",-14.25,130.0
"Matukar","matu1261","Oceanic","Austronesian",-4.91666666667,145.75
"Samo","samo1303","East Strickland","East Strickland",-6.16666666667,142.25
"Omaha","omah1247","Core Siouan","Siouan",42.0,-97.25
"Pisa","asue1235","Awju-Dumut","Trans-New Guinea",-5.16666666667,139.166666667
"Riantana","rian1263","Kolopom","Kolopom",-7.5,138.5
"Sherpa","sher1255","Bodic","Sino-Tibetan",27.75,86.8333333333
"Sulung","sulu1241","Sulung","Sulung",28.3333333333,93.25
"Tuki","tuki1240","Bantoid","Niger-Congo",4.58333333333,11.5
"Watam","wata1253","Lower Ramu","Lower Sepik-Ramu",-3.91666666667,144.5
"Yao (in Malawi)","yaoo1241","Bantoid","Niger-Congo",-14.5,35.5
"Yei","yeii1239","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers",-7.91666666667,140.916666667
"Yelmek","yelm1242","Bulaka River","Bulaka River",-7.66666666667,139.166666667
"Yansi","yans1239","Bantoid","Niger-Congo",-3.83333333333,18.0
"Yurimangí","yuru1243","Yurimangí","Yurimangí",3.83333333333,-77.0
"Zimakani","zima1244","Marind","Anim",-7.43333333333,141.433333333
"Arandai","aran1237","South Bird's Head Proper","South Bird's Head",-2.08333333333,133.0
"Araki","arak1252","Oceanic","Austronesian",-15.6666666667,166.916666667
"Birri","birr1240","Bongo-Bagirmi","Central Sudanic",5.5,25.1666666667
"Bukusu","buku1249","Bantoid","Niger-Congo",0.75,34.6666666667
"Cashinahua","cash1254","Panoan","Panoan",-10.5,-71.8333333333
"Chinantec (Tepetotutla)","tepe1279","Chinantecan","Oto-Manguean",17.8333333333,-96.5
"Dabida","tait1250","Bantoid","Niger-Congo",-4.0,38.6666666667
"Gojri","guja1253","Indic","Indo-European",32.75,76.25
"Idoma","idom1241","Idomoid","Niger-Congo",6.91666666667,7.5
"Kiluba","luba1250","Bantoid","Niger-Congo",-8.0,26.0
"Ko (Winye)","winy1241","Southern-Central Gur","Niger-Congo",11.8666666667,-2.91666666667
"Kete","kete1252","Bantoid","Niger-Congo",-7.0,22.8333333333
"Kenyang","keny1279","Bantoid","Niger-Congo",5.66666666667,9.5
"Lobi","lobi1245","Southern-Central Gur","Niger-Congo",10.5,-3.25
"Lozi","lozi1239","Bantoid","Niger-Congo",-17.8333333333,26.0
"Mongo","mong1338","Bantoid","Niger-Congo",0.0,21.0
"Mopan","mopa1243","Mayan","Mayan",16.5833333333,-88.6666666667
"Ndogo","ndog1248","Ubangi","Niger-Congo",7.75,27.0
"Nyanga","nyan1304","Bantoid","Niger-Congo",-1.25,28.1666666667
"Naga Pidgin","naga1394","Creoles and Pidgins","other",25.6666666667,94.0
"Nateni","nate1242","Northern-Central Gur","Niger-Congo",10.5,1.16666666667
"Nubi","nubi1253","Creoles and Pidgins","other",0.666666666667,32.0833333333
"Paita","dumb1241","Oceanic","Austronesian",-22.0833333333,166.5
"Sengele","seng1278","Bantoid","Niger-Congo",-1.83333333333,17.3333333333
"Svan","svan1243","Kartvelian","Kartvelian",43.0,42.5
"Vagla","vagl1239","Southern-Central Gur","Niger-Congo",9.41666666667,-2.41666666667
"Yakoma","yako1252","Ubangi","Niger-Congo",4.41666666667,18.4166666667
"Bafut","bafu1246","Bantoid","Niger-Congo",6.25,9.91666666667
"Nuni (Northern)","nort2784","Southern-Central Gur","Niger-Congo",12.1666666667,-3.0
"Dyula","dyul1238","Western Mande","Mande",9.83333333333,-4.66666666667
"Kagoma","kago1247","Platoid","Niger-Congo",9.25,8.16666666667
"Kasem","kase1253","Southern-Central Gur","Niger-Congo",11.25,-1.25
"Mankanya","mank1251","Bak","Niger-Congo",12.0833333333,-15.9166666667
"Akwa","pong1250","Kainji","Niger-Congo",10.0833333333,6.33333333333
"Talysh (Azerbaijan)","taly1247","Iranian","Indo-European",38.75,48.6666666667
"Gadaba (Kondekor)","pott1240","Central Dravidian","Dravidian",18.75,83.5
"Arikara","arik1262","Caddoan","Caddoan",45.5,-100.5
"Amdo","amdo1237","Bodic","Sino-Tibetan",35.0,100.0
"Apache (Chiricahua)","mesc1238","Athapaskan","Na-Dene",33.25,-108.0
"Benabena","bena1264","Eastern Highlands","Trans-New Guinea",-6.16666666667,145.5
"Chasta Costa","tutu1242","Athapaskan","Na-Dene",42.6666666667,-124.0
"Jemez","jeme1245","Kiowa-Tanoan","Kiowa-Tanoan",35.8333333333,-107.0
"Khowar","khow1242","Indic","Indo-European",36.0,72.0
"Kickapoo","kick1244","Algonquian","Algic",42.25,-84.0
"Kalasha","kala1372","Indic","Indo-European",35.0,72.0
"Kato","kato1244","Athapaskan","Na-Dene",39.6666666667,-123.666666667
"Mingrelian","ming1252","Kartvelian","Kartvelian",42.5,42.0
"Mixe (Tlahuitoltepec)","tlah1239","Mixe-Zoque","Mixe-Zoque",17.0833333333,-96.1666666667
"Mattole","matt1238","Athapaskan","Na-Dene",40.1666666667,-124.166666667
"Mixtec (Silacayoapan)","sila1250","Mixtecan","Oto-Manguean",17.5,-98.1666666667
"Mixtec (Coatzospan)","coat1241","Mixtecan","Oto-Manguean",18.0833333333,-96.5833333333
"Nitinaht","diti1235","Southern Wakashan","Wakashan",48.6666666667,-124.75
"Pemon","pemo1248","Cariban","Cariban",5.33333333333,-62.0
"Pomo (Northern)","nort2966","Pomoan","Hokan",39.3333333333,-123.5
"Potawatomi","pota1247","Algonquian","Algic",44.5,-85.0
"Sayula Popoluca","sayu1241","Mixe-Zoque","Mixe-Zoque",17.8333333333,-95.0
"Tunebo","ango1257","Tunebo","Chibchan",6.75,-72.25
"Tiwa (Southern)","sout2961","Kiowa-Tanoan","Kiowa-Tanoan",35.0,-106.333333333
"Abau","abau1245","Upper Sepik","Sepik",-4.0,141.25
"Asuriní","toca1235","Tupi-Guaraní","Tupian",-3.5,-49.5
"Ayiwo","ayiw1239","Oceanic","Austronesian",-10.3333333333,166.25
"Baham","baha1258","West Bomberai","West Bomberai",-3.16666666667,132.666666667
"Bangime","bang1363","Bangime","Bangime",14.9166666667,-3.83333333333
"Baga Sitemu","baga1272","Mel","Niger-Congo",10.5,-14.5
"Banggi","bong1289","North Borneo","Austronesian",7.25,117.166666667
"Bolia","boli1255","Bantoid","Niger-Congo",-1.25,18.3333333333
"Chaga","moch1256","Bantoid","Niger-Congo",-3.0,37.0
"Chaudangsi","chau1259","Bodic","Sino-Tibetan",30.0,80.25
"Catawba","cata1286","Catawban","Siouan",35.5,-80.5
"Cuica","timo1237","Timote-Cuica","Timote-Cuica",9.0,-70.5
"Duma","duma1253","Bantoid","Niger-Congo",-0.95,13.0
"Doko","ngom1268","Bantoid","Niger-Congo",3.0,23.0833333333
"Edolo","edol1239","Bosavi","Bosavi",-6.16666666667,142.666666667
"Ekoti","koti1238","Bantoid","Niger-Congo",-16.5,39.5
"Foe","foii1241","Kutubuan","Trans-New Guinea",-6.5,143.5
"Gungbe","gunn1250","Kwa","Niger-Congo",6.5,2.5
"Hehe","hehe1240","Bantoid","Niger-Congo",-8.0,36.0
"Heiltsuk","heil1246","Northern Wakashan","Wakashan",52.0,-127.5
"Holoholo","holo1240","Bantoid","Niger-Congo",-5.16666666667,29.9166666667
"=|Hoan","huaa1248","=|Hoan","Kxa",-25.5,25.0
"Igede","iged1239","Idomoid","Niger-Congo",7.0,8.16666666667
"Isirawa","isir1237","Kwerba","Kwerba",-1.83333333333,138.5
"Kaki Ae","kaki1249","Tate","Eleman",-8.0,145.833333333
"Kabiyé","kabi1261","Southern-Central Gur","Niger-Congo",9.66666666667,1.16666666667
"Khün","khun1259","Kam-Tai","Tai-Kadai",21.0,100.0
"Kuikúro","kuik1246","Cariban","Cariban",-12.4166666667,-53.0833333333
"Krenak","kren1239","Botocudo","Macro-Ge",-15.5,-41.0
"Kasong","suoy1242","Pearic","Austro-Asiatic",12.75,102.116666667
"Karkar-Yuri","kark1258","Eastern Pauwasi","Pauwasi",-3.75,141.083333333
"Labu","labu1248","Oceanic","Austronesian",-6.75,146.916666667
"Langi","lang1320","Bantoid","Niger-Congo",-4.5,36.0
"Hlai (Baoding)","hlai1239","Hlai","Tai-Kadai",19.0,109.5
"Mbere","mber1257","Bantoid","Niger-Congo",-0.5,14.0
"Mbosi","mbos1242","Bantoid","Niger-Congo",-1.25,15.5
"Makonde","mako1251","Bantoid","Niger-Congo",-11.0,40.0
"Mankon","ngem1255","Bantoid","Niger-Congo",6.0,10.1666666667
"Makaa","maka1304","Bantoid","Niger-Congo",3.41666666667,12.25
"Marchha","rong1264","Bodic","Sino-Tibetan",30.25,79.5833333333
"Ifira-Mele","mele1250","Oceanic","Austronesian",-17.75,168.25
"Ngbandi","sout2784","Ubangi","Niger-Congo",3.75,22.0
"Nguna","nort2836","Oceanic","Austronesian",-16.9166666667,168.5
"Nend","nend1239","Madang","Trans-New Guinea",-5.0,144.916666667
"Nusu","nusu1239","Burmese-Lolo","Sino-Tibetan",26.75,99.0
"Owininga","owin1240","Left May","Left May",-4.5,141.75
"Pangwa","pang1287","Bantoid","Niger-Congo",-10.0,34.75
"Panará","pana1307","Ge-Kaingang","Macro-Ge",-10.0,-55.0
"Pogoro","pogo1243","Bantoid","Niger-Congo",-8.75,36.5
"Ralte","ralt1242","Kuki-Chin","Sino-Tibetan",23.75,92.75
"Ronga","rong1268","Bantoid","Niger-Congo",-26.0,32.5
"Rimi","nyat1246","Bantoid","Niger-Congo",-5.0,34.6666666667
"Sukuma","suku1261","Bantoid","Niger-Congo",-2.83333333333,32.0
"Suku","suku1259","Bantoid","Niger-Congo",-6.0,17.6666666667
"Shekhawati","shek1243","Indic","Indo-European",28.0,75.5
"Tiv","tivv1240","Bantoid","Niger-Congo",7.5,9.0
"Tupuri","tupu1244","Mbumic","Niger-Congo",10.1666666667,14.75
"Taushiro","taus1253","Taushiro","Taushiro",-3.25,-75.5
"Tyeraity","tyar1236","Northern Daly","Northern Daly",-13.0,130.333333333
"Warluwara","warl1256","Western Pama-Nyungan","Pama-Nyungan",-22.0,138.5
"Wan","wann1242","Eastern Mande","Mande",7.83333333333,-5.86666666667
"Waama","waam1244","Northern-Central Gur","Niger-Congo",10.5833333333,1.66666666667
"Kanashi","kana1283","Bodic","Sino-Tibetan",32.0833333333,77.25
"Achang","acha1249","Burmese-Lolo","Sino-Tibetan",25.0,98.5
"Hani","hani1248","Burmese-Lolo","Sino-Tibetan",23.0,103.0
"Idu","idum1241","Digaroan","Sino-Tibetan",29.3333333333,95.8333333333
"Mpongwe","myen1241","Bantoid","Niger-Congo",-1.25,9.5
"Manange","mana1288","Bodic","Sino-Tibetan",28.5833333333,84.0
"Shuri","cent2126","Japanese","Japanese",26.5,127.5
"Tatana'","tata1257","North Borneo","Austronesian",5.5,115.5
"Yamphu","yamp1242","Mahakiranti","Sino-Tibetan",27.5833333333,87.3333333333
"Nuosu","sich1238","Burmese-Lolo","Sino-Tibetan",28.0,103.0
"Kabatei","kaba1276","Iranian","Indo-European",36.75,49.4166666667
"Koluri","shah1254","Iranian","Indo-European",37.0,48.0
"Ding","ding1239","Bantoid","Niger-Congo",-4.33333333333,19.5
"Hawrami","gura1251","Iranian","Indo-European",35.75,45.5
"Kami","kami1256","Bantoid","Niger-Congo",-6.75,38.0
"Songe","song1303","Bantoid","Niger-Congo",-6.83333333333,22.0
"Ternate","tern1247","North Halmaheran","West Papuan",0.833333333333,127.25
"Vili","vili1238","Bantoid","Niger-Congo",-5.5,14.0
"Ama","amap1240","Left May","Left May",-4.21666666667,141.616666667
"Piapoco","piap1246","Inland Northern Arawakan","Arawakan",4.0,-69.5
"Bujeba","kwas1243","Bantoid","Niger-Congo",3.0,10.1666666667
"Elseng","else1239","Morwap","Morwap",-3.0,140.5
"Gutob","bodo1267","Munda","Austro-Asiatic",19.0,83.6666666667
"Luyia","saam1283","Bantoid","Niger-Congo",0.416666666667,34.5
"Tsonga","tson1249","Bantoid","Niger-Congo",-24.0,32.0
"Lyele","lyel1241","Southern-Central Gur","Niger-Congo",12.5,-2.66666666667
"Nomatsiguenga","noma1263","Pre-Andine Arawakan","Arawakan",-11.6666666667,-74.5
"Ojibwe (Minnesota)","chip1241","Algonquian","Algic",47.6666666667,-92.5
"Sursurunga","surs1246","Oceanic","Austronesian",-4.0,152.766666667
"Tepecano","tepe1278","Tepiman","Uto-Aztecan",21.75,-104.75
"Dii","diii1241","Samba-Duru","Niger-Congo",8.0,14.0
"Embaloh","emba1238","South Sulawesi","Austronesian",1.16666666667,112.333333333
"Ajië","ajie1238","Oceanic","Austronesian",-21.3333333333,165.5
"Yaruro","pume1238","Yaruro","Yaruro",7.0,-68.0
"Guanano","guan1269","Tucanoan","Tucanoan",0.833333333333,-69.5
"Nahuatl (Pochutla)","poch1244","Aztecan","Uto-Aztecan",15.75,-96.5
"Zapotec (Ixtlan)","sout3005","Zapotecan","Oto-Manguean",17.25,-96.5
"Burji","burj1242","Lowland East Cushitic","Afro-Asiatic",5.5,37.8333333333
"Daba","nucl1683","Biu-Mandara","Afro-Asiatic",10.1666666667,13.75
"Koranko","kura1250","Western Mande","Mande",9.33333333333,-11.25
"Lonwolwol","lonw1238","Oceanic","Austronesian",-16.2166666667,168.0
"Patpatar","patp1243","Oceanic","Austronesian",-3.76666666667,152.5
"Bagri","bagr1243","Indic","Indo-European",29.5833333333,74.3333333333
"Sika","sika1262","Central Malayo-Polynesian","Austronesian",-8.7,122.25
"Gidar","gida1247","Biu-Mandara","Afro-Asiatic",10.0,14.0
"Koorete","koor1239","North Omotic","Afro-Asiatic",5.83333333333,37.8333333333
"Apache (Jicarilla)","jica1244","Athapaskan","Na-Dene",36.5833333333,-104.0
"Karao","kara1487","Northern Luzon","Austronesian",16.5,120.833333333
"Nigerian Pidgin","nige1257","Creoles and Pidgins","other",6.5,3.33333333333
"Abenaki (Western)","west2630","Algonquian","Algic",44.0,-72.25
"Algonquin","algo1255","Algonquian","Algic",46.0,-77.0
"'Are'are","area1240","Oceanic","Austronesian",-9.25,161.166666667
"Atikamekw","atik1240","Algonquian","Algic",48.0,-74.0
"Aynu","ainu1251","Turkic","Altaic",39.5,76.0
"Beothuk","beot1247","Beothuk","Beothuk",48.0,-57.0
"Beng","beng1286","Eastern Mande","Mande",7.83333333333,-4.25
"Bahnar","bahn1262","Bahnaric","Austro-Asiatic",13.8333333333,108.333333333
"Boruca","boru1252","Talamanca","Chibchan",8.83333333333,-83.25
"Cabécar","cabe1245","Talamanca","Chibchan",9.75,-83.4166666667
"Catio","embe1260","Choco","Choco",7.16666666667,-76.3333333333
"Chicomuceltec","chic1271","Mayan","Mayan",15.5,-92.25
"Colac","cola1237","Southeastern Pama-Nyungan","Pama-Nyungan",-38.3333333333,143.5
"Chimila","chim1309","Chimila","Chibchan",10.0,-74.0
"Comecrudo","come1251","Comecrudan","Comecrudan",25.8333333333,-99.0
"Carolinian","caro1242","Oceanic","Austronesian",15.2,145.75
"Chinantec (San Felipe Usila)","usil1237","Chinantecan","Oto-Manguean",17.9166666667,-96.5
"Diola-Kasa","jola1262","Bak","Niger-Congo",12.5,-16.75
"Chatino (Tataltepec)","tata1258","Zapotecan","Oto-Manguean",16.1666666667,-97.5833333333
"Curripaco","curr1243","Inland Northern Arawakan","Arawakan",2.5,-68.5
"Cuitlatec","cuit1236","Cuitlatec","Cuitlatec",17.5,-101.0
"Dumagat (Casiguran)","casi1235","Northern Luzon","Austronesian",16.3333333333,122.0
"Degexit'an","dege1248","Athapaskan","Na-Dene",62.0,-160.0
"Guana","guan1268","Mascoian","Mascoian",-22.0,-58.0
"Guayabero","guay1257","Guahiban","Guahiban",2.83333333333,-72.0
"Huambisa","huam1247","Jivaroan","Jivaroan",-4.0,-78.0
"Illinois","miam1252","Algonquian","Algic",40.0,-90.0
"Iñupiaq","nort2943","Eskimo","Eskimo-Aleut",67.0,-161.0
"Itawis","itaw1240","Northern Luzon","Austronesian",17.75,121.5
"Ixcatec","ixca1245","Popolocan","Oto-Manguean",17.8333333333,-97.1666666667
"Kaurna","kaur1267","Central Pama-Nyungan","Pama-Nyungan",-34.25,138.5
"Karipuna (Panoan)","kari1317","Panoan","Panoan",-10.0,-65.0
"Kanjobal (Eastern)","qanj1241","Mayan","Mayan",15.3333333333,-91.6666666667
"Kankanay","kank1243","Northern Luzon","Austronesian",16.75,120.583333333
"Kalanga","kala1384","Bantoid","Niger-Congo",-20.5,27.5
"Kapingamarangi","kapi1249","Oceanic","Austronesian",1.05,154.75
"Kituba","kitu1246","Creoles and Pidgins","other",-5.0,17.5
"Kutchin","gwic1235","Athapaskan","Na-Dene",67.0,-146.0
"Lau","lauu1247","Oceanic","Austronesian",-9.58333333333,161.5
"Maca","maca1260","Matacoan","Matacoan",-25.0,-57.5
"Macaguán","maca1259","Guahiban","Guahiban",6.5,-71.3333333333
"Macuna","macu1260","Tucanoan","Tucanoan",-0.333333333333,-70.1666666667
"Mahican","mohe1244","Algonquian","Algic",42.6666666667,-73.5
"Mixtec (San Juan Colorado)","sanj1281","Mixtecan","Oto-Manguean",16.5,-98.0
"Miwok (Bodega)","coas1301","Miwok","Penutian",38.3333333333,-123.0
"Moca","shek1244","North Omotic","Afro-Asiatic",7.58333333333,35.5
"Mapoyo","mapo1246","Cariban","Cariban",6.0,-67.0
"Barí","bari1297","Motilon","Chibchan",9.0,-73.0
"Muyuw","muyu1244","Oceanic","Austronesian",-9.08333333333,152.75
"Miwok (Lake)","lake1258","Miwok","Penutian",38.9166666667,-122.666666667
"Miwok (Plains)","plai1259","Miwok","Penutian",38.0,-121.0
"Mixtec (Chayuco)","chay1249","Mixtecan","Oto-Manguean",16.4166666667,-97.8333333333
"Nahuatl (Xalitla)","guer1241","Aztecan","Uto-Aztecan",18.0,-99.5
"Nanticoke","nant1249","Algonquian","Algic",38.0,-76.25
"Nahuatl (Pajapan)","isth1241","Aztecan","Uto-Aztecan",18.25,-94.75
"Naskapi","nask1242","Algonquian","Algic",56.0,-70.0
"Nahuatl (Sierra de Zacapoaxtla)","high1278","Aztecan","Uto-Aztecan",19.5833333333,-97.3333333333
"Nukak","nuka1242","Cacua-Nukak","Cacua-Nukak",2.5,-71.5
"Oriya (Kotia)","adiv1239","Indic","Indo-European",18.3333333333,83.0
"Omagua","omag1248","Tupi-Guaraní","Tupian",-4.0,-73.5
"Onondaga","onon1246","Northern Iroquoian","Iroquoian",42.75,-76.1666666667
"Otomí (Santiago Mexquititlan)","quer1236","Otomian","Oto-Manguean",20.0833333333,-100.083333333
"Playero","play1240","Guahiban","Guahiban",7.0,-71.0
"Powhatan","powh1243","Algonquian","Algic",37.3333333333,-76.5
"Piratapuyo","pira1254","Tucanoan","Tucanoan",0.333333333333,-69.5
"Popoloca (San Vicente Coyotepec)","coyo1236","Popolocan","Oto-Manguean",18.25,-97.8333333333
"Puinave","puin1248","Puinave","Puinave",4.0,-68.0
"Quechua (Ancash)","chiq1249","Quechuan","Quechuan",-8.5,-77.5
"Quechua (Cajamarca)","caja1238","Quechuan","Quechuan",-7.0,-78.5
"Rade","rade1240","Malayo-Sumbawan","Austronesian",13.0,108.5
"Roglai (Northern)","nort2994","Malayo-Sumbawan","Austronesian",12.1666666667,108.833333333
"Rengao","reng1252","Bahnaric","Austro-Asiatic",14.5833333333,107.833333333
"Rennellese","renn1242","Oceanic","Austronesian",-11.6166666667,160.25
"Slavey","sout2959","Athapaskan","Na-Dene",60.0,-120.0
"Semai","sema1266","Aslian","Austro-Asiatic",4.33333333333,101.666666667
