Source,Target,Id,Length, Type
aco, hau, 200, 0.4772727272727273, Undirected
aco, hin, 201, 0.4471153846153846, Undirected
aco, hix, 202, 0.40654205607476634, Undirected
aco, hmo, 203, 0.3994565217391305, Undirected
aco, hun, 204, 0.42954545454545456, Undirected
aco, hzb, 205, 0.4916666666666667, Undirected
aco, ika, 206, 0.4017857142857143, Undirected
aco, imo, 207, 0.4326923076923077, Undirected
aco, ind, 208, 0.43918918918918914, Undirected
aco, ing, 209, 0.4833333333333333, Undirected
aco, jak, 211, 0.38221153846153844, Undirected
aco, jpn, 212, 0.45833333333333337, Undirected
aco, juh, 213, 0.467741935483871, Undirected
aco, knr, 215, 0.45145631067961167, Undirected
aco, krk, 216, 0.2712765957446809, Undirected
aco, kay, 217, 0.4110576923076923, Undirected
aco, ket, 218, 0.40909090909090906, Undirected
aco, kew, 219, 0.38659793814432986, Undirected
aco, kha, 220, 0.4952830188679245, Undirected
aco, khs, 221, 0.4550561797752809, Undirected
aco, khm, 222, 0.459375, Undirected
aco, klv, 223, 0.3879310344827587, Undirected
aco, kio, 224, 0.3515625, Undirected
aco, koa, 225, 0.39, Undirected
aco, kob, 226, 0.4375, Undirected
aco, kor, 227, 0.4285714285714286, Undirected
aco, kse, 229, 0.44318181818181823, Undirected
aco, kro, 230, 0.45145631067961167, Undirected
aco, knm, 231, 0.5, Undirected
aco, kut, 232, 0.33333333333333337, Undirected
aco, lkt, 233, 0.35, Undirected
aco, lan, 234, 0.42452830188679247, Undirected
aco, lav, 236, 0.3713592233009708, Undirected
aco, lez, 237, 0.47045454545454546, Undirected
aco, luv, 238, 0.4897959183673469, Undirected
aco, mal, 239, 0.46261682242990654, Undirected
aco, mnd, 240, 0.41666666666666663, Undirected
aco, myi, 241, 0.4254807692307693, Undirected
aco, map, 243, 0.375, Undirected
aco, mar, 244, 0.405, Undirected
aco, mrt, 245, 0.46499999999999997, Undirected
aco, mau, 246, 0.390625, Undirected
aco, may, 247, 0.4296116504854369, Undirected
aco, mei, 248, 0.4, Undirected
aco, mxc, 249, 0.4285714285714286, Undirected
aco, mun, 250, 0.4568965517241379, Undirected
aco, nht, 251, 0.370253164556962, Undirected
