Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Bagirmi,bmi,Bongo-Bagirmi,Central Sudanic,Africa,11.67,16.0,Chad
Bagiro,fuu,Bongo-Bagirmi,Central Sudanic,Africa,4.33,20.58,Central African Republic
Bai,bca,Bai,Sino-Tibetan,Eurasia,26.0,100.0,China
Bajau (Sama),bdl,Sama-Bajaw,Austronesian,Papunesia,-4.33,123.0,Indonesia
Bajau (West Coast),bdr,Sama-Bajaw,Austronesian,Papunesia,6.33,116.33,Malaysia
Baka (in Cameroon),bkc,Ubangi,Niger-Congo,Africa,2.58,13.58,Cameroon
Baka (in South Sudan),bdh,Bongo-Bagirmi,Central Sudanic,Africa,4.83,29.25,South Sudan
Bakair�,bkq,Cariban,Cariban,South America,-14.0,-55.0,Brazil
Bakueri,bri,Bantoid,Niger-Congo,Africa,4.25,9.25,Cameroon
Bakundu,bdu,Bantoid,Niger-Congo,Africa,4.83,9.33,Cameroon
Balinese,ban,Malayo-Sumbawan,Austronesian,Papunesia,-8.33,115.25,Indonesia
Balti,bft,Bodic,Sino-Tibetan,Eurasia,35.0,76.0,Pakistan
Baluchi,bgp,Iranian,Indo-European,Eurasia,28.0,62.0,Pakistan
Bambara,bam,Western Mande,Mande,Africa,12.5,-7.5,Mali
Bamun,bax,Bantoid,Niger-Congo,Africa,5.5,10.92,Cameroon
Bana,bcw,Biu-Mandara,Afro-Asiatic,Africa,10.42,13.58,Cameroon
Banaw�,jaa,Arauan,Arauan,South America,-7.0,-65.0,Brazil
Bandi,bza,Western Mande,Mande,Africa,8.08,-10.25,Liberia
Bandjalang,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.75,153.0,Australia
Bandjalang (Casino),bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.92,153.0,Australia
Bandjalang (Waalubal),bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.08,152.58,Australia
Bandjalang (Yugumbir),bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-27.92,153.0,Australia
Banggarla,bjb,Central Pama-Nyungan,Pama-Nyungan,Australia,-32.0,137.0,Australia
Baniwa,bwi,Inland Northern Maipuran,Arawakan,South America,2.67,-66.83,Brazil
