walscode,glottocode
mpa,murr1258
mrd,nucl1622
mrg,marg1265
mrl,murl1244
mrn,mara1404
mro,moro1285
mrt,mart1255
mss,sout2985
mtp,toto1305
mui,muin1242
mum,nucl1240
mun,mund1320
mxc,sanm1295
mxm,sanm1295
mya,maya1282
myi,mang1381
mzc,chiq1250
nai,nana1257
nan,nand1266
nap,lish1246
nar,nara1262
nas,naas1242
nav,nava1243
nax,naxi1245
nbk,natu1246
ndt,ndut1239
ndy,ndyu1242
new,newa1246
nez,nezp1238
nga,ngan1291
ngz,ngiz1242
nhn,nort2957
nht,tete1251
nim,nucl1633
nis,nyis1236
niv,gily1242
nko,chig1238
nkt,nyah1250
nmb,sout2994
nnc,cent1990
nob,nobi1240
non,noon1243
nor,norw1259
nti,ngit1239
ntu,nene1249
nug,nung1290
nun,nung1283
nuu,noot1239
nyg,nyan1313
nyi,amas1236
oca,ocai1244
ogb,ogbi1239
oji,east2542
ond,onei1249
ood,toho1245
orh,east2652
orm,ormu1247
otm,mezq1235
pac,paco1243
pae,paez1247
pai,paiw1248
pau,paum1247
paw,pawa1255
pec,pech1241
phl,pwon1235
pit,pitj1243
pms,paam1238
pnr,enap1235
poa,fwai1237
poh,pohn1238
pol,poli1260
prh,pira1253
prs,west2369
psh,cent1973
psm,male1292
pso,sout2982
puk,para1301
pur,pure1242
qaw,qawa1238
qco,sout2991
qui,quil1240
ram,rama1270
rap,rapa1244
res,resi1247
rom,roma1327
ror,waim1251
rsc,roma1326
rtk,roto1249
ruk,ruka1240
rus,russ1263
rut,rutu1240
sab,saba1265
san,sang1328
sba,sali1298
scs,sout2674
sdh,sind1272
sdw,sand1273
seb,kups1238
sed,seda1262
sel,onaa1245
sha,shan1277
shi,nina1238
shk,ship1254
shs,shas1239
shu,shus1248
sin,sion1247
skp,selk1253
slp,sele1250
sml,seme1247
snc,sene1264
snd,ceba1235
snh,sinh1246
snm,sanu1240
snt,nucl1632
som,soma1255
soq,soqo1240
sor,sora1254
spa,stan1288
squ,squa1248
sre,koho1244
srn,siri1273
sue,suen1241
sui,suii1243
sup,supy1237
svs,savo1255
swa,swah1253
tab,east2440
tac,taca1256
tag,taga1270
tam,east2347
teh,tehu1242
tel,telu1262
ter,tera1251
tgk,tiga1245
tgr,tigr1270
tha,thai1261
tib,tibe1272
tic,ticu1245
tiw,tiwi1244
tks,teke1280
tli,tlin1245
tlp,acat1239
tma,tama1331
tmn,nucl1339
tmp,tamp1252
tne,timn1235
toa,toar1246
tok,taro1263
tol,toll1241
ton,tonk1249
tpa,papa1238
tru,trum1247
try,tiru1241
tsg,taus1251
tsi,nucl1649
tso,tsou1248
ttn,tetu1245
ttu,bats1242
tug,taha1241
tul,tulu1258
tun,tuni1252
tur,nucl1301
tuv,tuvi1240
twn,nort1550
tza,tzel1254
umb,umbu1257
una,unaa1239
ung,ngar1284
urk,urub1250
usa,usan1239
uzn,nort2690
vie,viet1252
wam,wamb1258
wap,wapp1239
war,wari1268
wch,wich1264
wdo,pitj1243
wic,wich1260
win,wint1259
wiy,wiyo1248
wlf,nucl1347
wma,west2600
wmu,wikm1247
wnt,want1252
woi,kama1365
wps,wapi1253
wra,wara1303
wrd,ward1246
wrs,wari1266
wry,wara1290
wuc,wuch1236
xoo,xooo1239
yag,yagu1244
yan,yana1271
yap,yape1248
yaq,yaqu1251
yar,yare1248
yaw,nucl1454
yay,bouy1240
ycn,yucu1253
yct,yuca1254
yel,yele1255
yes,yess1239
yey,yeyi1239
ygr,yaga1260
yid,yidi1250
yim,yima1243
yko,sout2750
ykt,yaku1245
yny,yany1243
yor,yoru1245
ytu,nort2745
yuc,yuch1247
yul,yulu1243
yur,yuro1248
yus,cent2128
zan,zand1248
zqc,copa1236
zul,zulu1248
zun,zuni1245
mak,maka1318
ngi,wang1291
tas,tach1250
wao,waor1240
abz,abaz1241
ady,adyg1241
agr,agua1253
agu,agua1252
aho,arap1274
akb,akab1249
akc,akac1240
akk,akak1252
ale,aleu1260
aln,alun1238
