description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER APOSTROPHE,tʃ,0.000314169,250E55139440A7D29563A3C71372E05C,1,t̠ʃˤʼ,2538,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER SMALL H,t,0.000314169,8F96F83FCDD5B62F8440BB7F54AFE417,1,t̪ˤʰ,2539,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER APOSTROPHE,t,0.000314169,7116DBE8054392BD0ABBC1D4040C4228,1,t̪ˤʼ,2540,consonant
LATIN SMALL LETTER V - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,v,0.000314169,D1716B5CB8C49FD7ED7C2997E7163B45,1,vˤ,2541,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - LATIN SMALL LETTER Z,dz,0.000314169,60DD96494BC29891987DE1C12949F145,1,d̪z,2561,consonant
LATIN SMALL LETTER B - COMBINING RING BELOW - MODIFIER LETTER TRIANGULAR COLON,b,0.000314169,CF97E6F7FEA60AB74DD814969DA3CEFE,1,b̥ː,2562,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,b,0.000314169,7207CEF2AB7246D8BAC5BD0F0071B4D4,1,bʲː,2563,consonant
LATIN SMALL LETTER D - COMBINING RING BELOW - MODIFIER LETTER TRIANGULAR COLON,d,0.000314169,5CB48C55C90EE1A55ECB50D35500EB81,1,d̥ː,2564,consonant
LATIN SMALL LETTER D - COMBINING RING BELOW - LATIN SMALL LETTER Z - COMBINING RING BELOW - MODIFIER LETTER SMALL J,dz,0.000314169,8B7DAD0DC4903E583684D0823E2E59B6,1,d̥z̥ʲ,2565,consonant
LATIN SMALL LETTER F - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,f,0.000314169,0F48B2EACDAEEBA11BAFA180D99E51C2,1,fʲː,2567,consonant
LATIN SMALL LETTER SCRIPT G - COMBINING RING ABOVE - MODIFIER LETTER TRIANGULAR COLON,ɡ,0.000314169,B9B4D2C4D2F40576E93F007CAEB8B795,1,ɡ̊ː,2568,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,ɡ,0.000314169,41795374AFF6C95217FECC0E8F043EF9,1,ɡʲː,2569,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER K - MODIFIER LETTER SMALL J,k,0.000314169,D41A67BB8148A48EEEA71A2CCFAE6408,1,ʰkʲ,2570,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER P - MODIFIER LETTER SMALL J,p,0.000314169,81A6608C455A40D225431AE7DA3251E1,1,ʰpʲ,2571,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL,tɕ,0.000314169,4A4851482756E38BD1F02DAA69959EDB,1,ʰtɕ,2572,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER T - MODIFIER LETTER SMALL J,t,0.000314169,F1AC50904C2BEC582D6CC24249EE2519,1,ʰtʲ,2573,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,ts,0.000314169,9A6ADFC0001DC6641DD46F9FCBF3A361,1,ʰtsʲ,2574,consonant
LATIN SMALL LETTER J WITH CROSSED-TAIL - MODIFIER LETTER TRIANGULAR COLON,ʝ,0.000314169,7045C858C1C750E61387EFCA79EB47EB,1,ʝː,2575,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,k,0.000314169,7D121ED548575F0A5AFCF172B66CAD61,1,kʲː,2576,consonant
LATIN SMALL LETTER L - COMBINING RING BELOW - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,l,0.000314169,BE9BB33B68BBEC40B09A8BA371A1FDC0,1,l̥ʲː,2577,consonant
LATIN SMALL LETTER M - COMBINING RING BELOW - MODIFIER LETTER TRIANGULAR COLON,m,0.000314169,74DC07E70F53B3351C19BF079BA04096,1,m̥ː,2578,consonant
LATIN SMALL LETTER M - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,m,0.000314169,86CB48F73CB0A4DFBDED05E51927D5DD,1,mʲː,2580,consonant
LATIN SMALL LETTER M - COMBINING RING BELOW - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,m,0.000314169,7D26C53A47493D7FD030E9B97CDED434,1,m̥ʲː,2581,consonant
LATIN SMALL LETTER N - COMBINING RING BELOW - MODIFIER LETTER TRIANGULAR COLON,n,0.000314169,D630D0CCBAA7A89CE01BF5950181D71E,1,n̥ː,2582,consonant
LATIN SMALL LETTER N - COMBINING RING BELOW - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,n,0.000314169,8DE8AF2E906CB81676B82FE37F1C4823,1,n̥ʲː,2583,consonant
LATIN SMALL LETTER ENG - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,ŋ,0.000314169,A4AC9EB92940BB1D295342528361E60D,1,ŋʲː,2584,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,p,0.000314169,12EE44A059D6C505C71945511DF27C9E,1,pʲː,2586,consonant
LATIN SMALL LETTER R - COMBINING RING BELOW - MODIFIER LETTER TRIANGULAR COLON,r,0.000314169,55F74FA52DEFAE8D5BEDBC0E8B3797B1,1,r̥ː,2587,consonant
LATIN SMALL LETTER R - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,r,0.000314169,D3B20DDDF9669642ED6062F22BB87B65,1,rʲː,2589,consonant
LATIN SMALL LETTER R - COMBINING RING BELOW - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,r,0.000314169,FA0B41881F736B8CE38218CC6A19A6D1,1,r̥ʲː,2590,consonant
LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER TRIANGULAR COLON,ʂ,0.000314169,B86F045946786B6242AC6CCB24C959A0,1,ʂː,2591,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,ts,0.000314169,E039DBCCF71864F03E4EF2DE6670E6B1,1,tsʲː,2592,consonant
LATIN SMALL LETTER X - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,x,0.000314169,CBFC0326A6F31AEA6C6EEBF59685B41B,1,xʲː,2595,consonant
LATIN SMALL LETTER Z - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,z,0.000314169,8B07B59C6F5E03E4BFEB00D3106DA6DB,1,zʲː,2596,consonant
GREEK SMALL LETTER BETA - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,β,0.000314169,2BE8094063AB8901A0EB77F004BA8F52,1,βʲː,2597,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - MODIFIER LETTER SMALL J,d,0.000314169,27FF97E97984FB2EC4FD5E16E61D5530,1,d̠ʲ,2598,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL GAMMA,p,0.000314169,3C70C4C894767DCF9C14AF395F65B31E,1,pˠ,2599,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL GAMMA,t,0.000314169,808DF8664AD171E3E643FB21871DFDA1,1,t̪ˠ,2600,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - MODIFIER LETTER SMALL J,t,0.000314169,417ED02FE95557C5B5CB8C0867B87587,1,t̠ʲ,2601,consonant
LATIN SMALL LETTER GAMMA - COMBINING RING ABOVE,ɣ,0.000314169,A6A6B67810B688F6F69D23A7DC8EB84E,1,ɣ̊,2610,consonant
LATIN SMALL LETTER V - COMBINING RING BELOW,v,0.000314169,44960B01734BCD86F9467B0E2E374EB9,1,v̥,2611,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - COMBINING INVERTED BRIDGE BELOW,d,0.000314169,0CF4049CC4D434B1FAFE0F9F8215132E,1,d̪̺,2647,consonant
LATIN SMALL LETTER Q - COMBINING INVERTED BRIDGE BELOW,q,0.000314169,D87A514C27DD2ED0833AD35C016C3E4B,1,q̺,2649,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER C WITH CURL - COMBINING INVERTED BRIDGE BELOW,tɕ,0.000314169,174714704B5002EC15EB118BEF93E869,1,t̺ɕ̺,2650,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER C WITH CURL - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER APOSTROPHE,tɕ,0.000314169,BBDCE530D788C017AAC9325195585654,1,t̺ɕ̺ʼ,2651,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - COMBINING VERTICAL LINE BELOW,n,0.000314169,B6CD60605471446466C30560E4651C06,1,n̪̩,2654,consonant
LATIN SMALL LETTER S - COMBINING INVERTED BRIDGE BELOW - COMBINING MINUS SIGN BELOW,s,0.000314169,259319C894BBFCAF12C12769917A08F6,1,s̺̠,2667,consonant
LATIN SMALL LETTER R - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER SMALL J,r,0.000314169,ED7D7884AE68F1233D814F1EF0AFD3D8,1,r̺ʲ,2677,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER L WITH BELT,tɬ,0.000314169,0565097901C20AA02D3EC55235049C42,1,t̪ɬ,2695,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER APOSTROPHE,tɬ,0.000314169,12A4D7DDDABBAEE6676C2DA4CC0C7CD2,1,t̪ɬʼ,2696,consonant
LATIN SMALL LETTER ESH WITH CURL - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,ʆ,0.000314169,28ED8CB465A70B1FDE7D7FE03E1CF6F0,1,ʆʷʼ,2724,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH WITH CURL - MODIFIER LETTER SMALL W,tʆ,0.000314169,36851E8D0A5558F876CCC7AA6AB85658,1,t̠ʆʷ,2725,consonant
LATIN LETTER GLOTTAL STOP - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,ʔ,0.000314169,7369BE91221461AE6C9E2888A05D1E3A,1,ʔʷʼ,2728,consonant
LATIN LETTER GLOTTAL STOP - MODIFIER LETTER APOSTROPHE,ʔ,0.000314169,922325CA6C65B67B3172456C26A3FA16,1,ʔʼ,2729,consonant
LATIN SMALL LETTER S - COMBINING SQUARE BELOW - COMBINING MINUS SIGN BELOW,s,0.000314169,39494153E1AA0EA912D660F7FDF5FDBA,1,s̻̠,2735,consonant
LATIN SMALL LETTER ENG - MODIFIER LETTER SMALL H,ŋ,0.000314169,8BCC1E315A842A1DF3745488F066C7C7,1,ŋʰ,2746,consonant
LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW - COMBINING INVERTED BRIDGE BELOW,ɬ,0.000314169,AE93740AA7B2486A790203A293BA323B,1,ɬ̪̺,2750,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - COMBINING INVERTED BRIDGE BELOW,n,0.000314169,BB941627F954A8212718C3ECE40D0256,1,n̪̺,2751,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE - LATIN SMALL LETTER J WITH CROSSED-TAIL - COMBINING DOWN TACK BELOW,ɟʝ,0.000314169,19AC7ED23690E981F5491D1963620730,1,ɟʝ̞,2756,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING DOWN TACK BELOW,ɾ,0.000314169,C6EDA10465AFB93D056960726D49449C,1,ɾ̞,2757,consonant
LATIN SMALL LETTER LEZH - COMBINING INVERTED BRIDGE BELOW,ɮ,0.000314169,54DD9E5E790CB145EAC2C657FA9E53C1,1,ɮ̺,2769,consonant
LATIN LETTER GLOTTAL STOP WITH STROKE - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ʡ,0.000314169,1081F537C026D70E7DB2C8C634856EE2,1,ʡˤ,2773,consonant
LATIN SMALL LETTER L WITH MIDDLE TILDE - COMBINING SQUARE BELOW,ɫ,0.000314169,2D2272792C0FD885CAD53ADA6520CB6F,1,ɫ̻,2774,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING SQUARE BELOW,ɾ,0.000314169,02FBEB2F6EAD8AA2DFD02E4BEE45881A,1,ɾ̻,2775,consonant
LATIN SMALL LETTER D - COMBINING SQUARE BELOW - LATIN SMALL LETTER Z WITH CURL - COMBINING SQUARE BELOW,dʑ,0.000314169,C35465DD67420DC0856EB343AF8561DB,1,d̻ʑ̻,2785,consonant
LATIN SMALL LETTER D - COMBINING SQUARE BELOW - LATIN SMALL LETTER Z WITH CURL - COMBINING SQUARE BELOW - MODIFIER LETTER SMALL H WITH HOOK,dʑ,0.000314169,438C620A4394E41E7B207D4A8AF66824,1,d̻ʑ̻ʱ,2786,consonant
LATIN SMALL LETTER L - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H WITH HOOK,l,0.000314169,DBBF7D9B1B8673317518CF649B49E6F0,1,l̪ʱ,2787,consonant
LATIN SMALL LETTER T - COMBINING SQUARE BELOW - LATIN SMALL LETTER C WITH CURL - COMBINING SQUARE BELOW,tɕ,0.000314169,2442AA9ACE93F13BEB0C077434C6F6FA,1,t̻ɕ̻,2788,consonant
LATIN SMALL LETTER T - COMBINING SQUARE BELOW - LATIN SMALL LETTER C WITH CURL - COMBINING SQUARE BELOW - MODIFIER LETTER SMALL H,tɕ,0.000314169,BB728F635D9CB2C70250CD60B9B9CD57,1,t̻ɕ̻ʰ,2789,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,ʃ,0.000314169,A9C3B8678AB33843D933FCA4B10B2220,1,ʃʼː,2792,consonant
GREEK SMALL LETTER CHI - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,χ,0.000314169,40555105A3B29B79240ABABEDDAEBB9B,1,χʼː,2794,consonant
LATIN SMALL LETTER V WITH HOOK - MODIFIER LETTER SMALL J,ʋ,0.000314169,E277DACE2DC390A629FCB9717CE047A5,1,ʋʲ,2795,consonant
LATIN SMALL LETTER D - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER EZH - COMBINING INVERTED BRIDGE BELOW,dʒ,0.000314169,4DB0C6B6C43E25B8DCBEE14DEE4F3B02,1,d̺ʒ̺,2801,consonant
LATIN SMALL LETTER L WITH MIDDLE TILDE - MODIFIER LETTER TRIANGULAR COLON,ɫ,0.000314169,C70171D43B72966097A5AC4C8829E59E,1,ɫː,2804,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER ESH - COMBINING INVERTED BRIDGE BELOW,tʃ,0.000314169,80A1FCADCA41FA15BB8AF6521D3AB7F6,1,t̺ʃ̺,2805,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - COMBINING DIAERESIS BELOW - MODIFIER LETTER SMALL H WITH HOOK,d,0.000314169,F1626EDA2C439F6327193AF9632DDF41,1,d̪̤ʱ,2821,consonant
LATIN SMALL LETTER F - COMBINING VERTICAL LINE BELOW,f,0.000314169,1469BB62AF55606EA727F041EFA1D234,1,f̩,2830,consonant
LATIN SMALL LETTER S - COMBINING VERTICAL LINE BELOW,s,0.000314169,990D66B4EB8520AB6D8AB98E61B36C14,1,s̩,2831,consonant
LATIN SMALL LETTER V WITH HOOK - COMBINING VERTICAL LINE BELOW,ʋ,0.000314169,1A5CEFC9BC53EF3C59C95391DDCBFFD1,1,ʋ̩,2832,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - COMBINING INVERTED BRIDGE BELOW,tʃ,0.000314169,491FA381187DB106FDB661ADD81A8300,1,t̠ʃ̺,2837,consonant
LATIN SMALL LETTER Z - COMBINING MINUS SIGN BELOW,z,0.000314169,F78B2E0CB40D1B66CD0ECA8B85425A77,1,z̠,2838,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z WITH CURL - MODIFIER LETTER SMALL H,dʑ,0.000314169,4E1C34E6243614365366CA3B76F0C8BF,1,dʑʰ,2846,consonant
LATIN SMALL LETTER D - COMBINING RING BELOW - MODIFIER LETTER SMALL J,d,0.000314169,989208A7BA3819EB92545C744967AE46,1,d̥ʲ,2848,consonant
LATIN SMALL LETTER W - COMBINING LEFT HALF RING BELOW,w,0.000314169,2CFF8609894340905AE0C268F4694E30,1,w̜,2849,consonant
LATIN SMALL LETTER W - COMBINING LEFT HALF RING BELOW - MODIFIER LETTER SMALL J,w,0.000314169,0764F7C891B9FDD9CCE4F37DA9CF162E,1,w̜ʲ,2850,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,q,0.000314169,270EBA0146724AE4BF7C8B45B500F07A,1,qʷʼː,2852,consonant
LATIN LETTER GLOTTAL STOP - COMBINING TILDE,ʔ,0.000314169,3A5892D1CD9813DE5F6DB8CC2F3D4CCD,1,ʔ̃,2853,consonant
LATIN LETTER SMALL CAPITAL H - MODIFIER LETTER SMALL W,ʜ,0.000314169,FDBC9A6524BA3B014D9143C9D41E8FE3,1,ʜʷ,2856,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,tɬ,0.000314169,1AAAE15CF18B045B2D38C99FEF17B1B3,1,tɬʷʰ,2857,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,tɬ,0.000314169,F67022DDCDB3225A03C947A1A68A982C,1,tɬʷʼ,2858,consonant
LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE - MODIFIER LETTER SMALL W,ʢ,0.000314169,9511A77914FD758277DE9424D88A9174,1,ʢʷ,2859,consonant
MODIFIER LETTER SMALL W - LATIN SMALL LETTER R,r,0.000314169,329FF02CADC57B8F5AE1531B38188837,1,ʷr,2866,consonant
LATIN SMALL LETTER D - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING INVERTED BRIDGE BELOW,dz,0.000314169,9A3C3D848093E76A029A0D61AACE569D,1,d̺z̺,2870,consonant
LATIN SMALL LETTER D - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON,dz,0.000314169,38E6C78262019982EB72E856B0783692,1,d̺z̺ː,2871,consonant
LATIN SMALL LETTER S - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON,s,0.000314169,C71C58280319B53C25D80420308FA597,1,s̺ː,2881,consonant
LATIN SMALL LETTER TURNED R - COMBINING BRIDGE BELOW - COMBINING VERTICAL LINE BELOW - MODIFIER LETTER SMALL GAMMA,ɹ,0.000314169,A3AC6857C3F0720A1321AEDE870281F5,1,ɹ̪̩ˠ,2899,consonant
LATIN SMALL LETTER TURNED R WITH HOOK - COMBINING RIGHT HALF RING BELOW - COMBINING VERTICAL LINE BELOW,ɻ,0.000314169,F781AA8E704638CF5613F8FEFF0CAF21,1,ɻ̹̩,2901,consonant
LATIN SMALL LETTER EZH - COMBINING VERTICAL LINE BELOW,ʒ,0.000314169,5B8862E238FFE862E25F5FA3D25F633F,1,ʒ̩,2902,consonant
MODIFIER LETTER APOSTROPHE - LATIN SMALL LETTER L,l,0.000314169,63AE4DE4DA6B6FBF5A1F2261505CBA44,1,ʼl,2916,consonant
MODIFIER LETTER APOSTROPHE - LATIN SMALL LETTER S,s,0.000314169,852D96FF68536F2E091BB34B1873C821,1,ʼs,2919,consonant
MODIFIER LETTER APOSTROPHE - LATIN SMALL LETTER ESH,ʃ,0.000314169,7C5C322E93416D6468434268D10E48B5,1,ʼʃ,2920,consonant
LATIN SMALL LETTER L WITH MIDDLE TILDE - COMBINING RING BELOW,ɫ,0.000314169,BD0DB6C763DBFF44DE732D12477F9675,1,ɫ̥,2931,consonant
LATIN SMALL LETTER W - MODIFIER LETTER SMALL H,w,0.000314169,3724DD3DA6974507BC31C1DBBCF46869,1,wʰ,2933,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - COMBINING SQUARE BELOW,d,0.000314169,5E545018CBDFE841140149AEB7E017D2,1,d̪̻,2934,consonant
LATIN SMALL LETTER D - COMBINING SQUARE BELOW - LATIN SMALL LETTER EZH - COMBINING SQUARE BELOW,dʒ,0.000314169,73EE13D185177297D998ECEE688FCD79,1,d̻ʒ̻,2935,consonant
LATIN SMALL LETTER D - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER EZH - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER SMALL W,dʒ,0.000314169,F0AE3B56F948F8AE6D035814F268F134,1,d̺ʒ̺ʷ,2936,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - COMBINING SQUARE BELOW,t,0.000314169,FF7F6B144CFA0100B62CEEB86A734CB6,1,t̪̻,2937,consonant
LATIN SMALL LETTER T - COMBINING SQUARE BELOW - LATIN SMALL LETTER ESH - COMBINING SQUARE BELOW,tʃ,0.000314169,D458AB82F34955393B6ABAE8417B98F8,1,t̻ʃ̻,2938,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER ESH - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER SMALL W,tʃ,0.000314169,414A5C7788B0E93B3CB2F15CD2BB8F7B,1,t̺ʃ̺ʷ,2939,consonant
LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - COMBINING SQUARE BELOW,z,0.000314169,FE07A09B1669BDB737EB17533DF4245F,1,z̪̻,2940,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL J,dz,0.000314169,3B3144967EDECF1DA296A19C0F64581D,1,d̪z̪ʲ,2943,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,ʃ,0.000314169,FD0559FA334F8D5C92E383BC9455572D,1,ʃʲː,2944,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,tʃ,0.000314169,B6D775573CEF5BF39AA37186855B578C,1,t̠ʃʲː,2945,consonant
LATIN SMALL LETTER EZH - MODIFIER LETTER SMALL J - MODIFIER LETTER TRIANGULAR COLON,ʒ,0.000314169,C42F26521744218C5354B5462A166B2C,1,ʒʲː,2946,consonant
GREEK SMALL LETTER THETA - MODIFIER LETTER APOSTROPHE,θ,0.000314169,53182B7592C84FD14CC41EC5ED8C31E3,1,θʼ,2948,consonant
LATIN SMALL LETTER R WITH TAIL - COMBINING RING ABOVE,ɽ,0.000314169,CC0AC21A141F76AC77319EF5AAA82974,1,ɽ̊,2952,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER L - COMBINING RING BELOW,l,0.000314169,E19925D5168223A4D91EB1C0D47A67E9,1,ʰl̥,2953,consonant
MODIFIER LETTER SMALL H - LATIN SMALL LETTER T WITH RETROFLEX HOOK,ʈ,0.000314169,0F14AEB6814E811A90F67BCA7CAE23D1,1,ʰʈ,2954,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER D - LATIN SMALL LETTER Z,dz,0.000314169,115913817EFA10669D1A29BBDFB6C9C4,1,ʱdz,2955,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER D - LATIN SMALL LETTER Z WITH CURL,dʑ,0.000314169,8CC241B4C2D1A89C3D9B82BC451D7093,1,ʱdʑ,2956,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER D WITH TAIL,ɖ,0.000314169,E3766E15E5C0A42E80AC6503B8805CFF,1,ʱɖ,2957,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER SCRIPT G,ɡ,0.000314169,C895981833D11EE242A4566A1BB72FF2,1,ʱɡ,2958,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER N WITH LEFT HOOK,ɲ,0.000314169,7DA980B48941BF50237CBCB72FC6DB42,1,ʱɲ,2959,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER Z,z,0.000314169,90FE8556F23C7D47C6C3F2C310C309B3,1,ʱz,2960,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER Z WITH RETROFLEX HOOK,ʐ,0.000314169,93C4E642EC0CD001512CCB9CA2E439B9,1,ʱʐ,2961,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,ⁿs,0.000314169,81049B39EE69BEE18491BA3AEDF5AF5F,1,ⁿsʰ,2962,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER X - MODIFIER LETTER SMALL H,ⁿx,0.000314169,95E283C04AE066694E4115AA0136B27B,1,ⁿxʰ,2963,consonant
MODIFIER LETTER SMALL W - LATIN SMALL LETTER D,d,0.000314169,9A18DD3D68254EBC49C0EA2960846D36,1,ʷd,2964,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER SMALL H,ɕ,0.000314169,49E9714D64DE6B240D92F73390E82A02,1,ʷʰɕʰ,2965,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER K,k,0.000314169,D8DB01A958CDE61DBFDCD2AE0C9DA5BD,1,ʷʰk,2966,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER S,s,0.000314169,F126D5C30A81CBE372CA9B365C4DE18E,1,ʷʰs,2967,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,s,0.000314169,E88227DB10E69D897B33D59A6791B5EF,1,ʷʰsʰ,2968,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER SMALL H,ʂ,0.000314169,8A853FD2C21AAF1AC7D6758F31502B9C,1,ʷʰʂʰ,2969,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER T,t,0.000314169,BCD06E2C1BC01CB01CC7FB7417365964,1,ʷʰt,2970,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL,tɕ,0.000314169,F13CBBFB1D98711C5A638F52E14795BE,1,ʷʰtɕ,2971,consonant
MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H - LATIN SMALL LETTER T - LATIN SMALL LETTER S,ts,0.000314169,77A240791AB57D943359F42ED2D5A1C0,1,ʷʰts,2972,consonant
