description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER R WITH TAIL,ɽ,0.056236255,ECADEF8DC1141DC0002DA207736CC234,179,ɽ,222,consonant
LATIN SMALL LETTER P - MODIFIER LETTER APOSTROPHE,p,0.055922086,646674CE0AF099A6E69FB25363B53313,178,pʼ,72,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER N,n|n,0.050581213,BDB7FF8562F652C02610A5B1365408A6,161,n̪|n,748,consonant
LATIN SMALL LETTER ETH,ð,0.050267044,C74BECEC6C9DBC95D2C92E893F72A8AD,160,ð,329,consonant
LATIN SMALL LETTER T - MODIFIER LETTER APOSTROPHE,t,0.049010368,11D5EDE5CF43EE6FA131900D77195344,156,tʼ,97,consonant
LATIN LETTER SMALL CAPITAL INVERTED R,ʁ,0.049010368,B8654231A8D23801B38D10EE554ACBD5,156,ʁ,132,consonant
LATIN SMALL LETTER N - COMBINING INVERTED BRIDGE BELOW,n,0.049010368,1BB95EDC77BFC8071367FCFDC5830DCA,156,n̺,1450,consonant
LATIN SMALL LETTER PHI,ɸ,0.048067861,E9F92ED438311DEF47430F2DC3038C22,153,ɸ,392,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER T,t|t,0.048067861,19543364EAF61142000DD72C6A8928C2,153,t̪|t,772,consonant
LATIN SMALL LETTER L WITH BELT,ɬ,0.046811184,1F0C89A7E99CD5113AA994AD2CC86CBC,149,ɬ,356,consonant
LATIN SMALL LETTER R - COMBINING INVERTED BRIDGE BELOW,r,0.046811184,81345F12922D0D6811F6BE87C0593038,149,r̺,1452,consonant
LATIN SMALL LETTER TURNED Y,ʎ,0.046182846,1C7F2960BE4EDD840C01C94930F1D932,147,ʎ,517,consonant
LATIN SMALL LETTER L - COMBINING INVERTED BRIDGE BELOW,l,0.043983663,3BC1F6D2610834969E5525A131FC9E41,140,l̺,2517,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - MODIFIER LETTER SMALL H,ʈ,0.043669494,4364823B8F03525E91440277AEC22689,139,ʈʰ,161,consonant
LATIN SMALL LETTER C WITH CEDILLA,ç,0.043041156,A933E2A015DCF1AB1B946DBA04C1958C,137,ç,290,consonant
LATIN SMALL LETTER L - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER L,l|l,0.043041156,248FEBD2F3CA12C78F42704E4C4B0A10,137,l̪|l,774,consonant
LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER S,s|s,0.042726987,DD348EBA5A5459D491E4FCC619FCE287,136,s̪|s,753,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH,ndʒ,0.040527804,E8A9FEC9A1B502D54358B0FE53449BE1,129,n̠d̠ʒ,243,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,ts,0.040213635,BAC70456E8C04CEFDCAC8240DAFE192F,128,tsʼ,91,consonant
LATIN SMALL LETTER S - COMBINING BRIDGE BELOW,s,0.038956959,BF4C7446654F9DDE2B7CA86A93FC8D29,124,s̪,192,consonant
LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA,cç,0.038956959,8AD5C612764E127E084477DD1C52B817,124,cç,291,consonant
LATIN SMALL LETTER ENG - MODIFIER LETTER SMALL W,ŋ,0.038956959,3ED3C12693EEA6DCD866F8DBD9C6CF1D,124,ŋʷ,359,consonant
GREEK SMALL LETTER THETA,θ,0.03864279,7D184A6DCDA3EB154F9CB34651E02EEE,123,θ,335,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL,tɕ,0.038014452,F98D1F5885EED9A2408A55B509F263BD,121,tɕ,867,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW,t,0.036757776,3D547FBDD249CB4EAAC805F63665EB99,117,t̺,1692,consonant
LATIN SMALL LETTER C WITH CURL,ɕ,0.036443607,5B46730211D403D44939C20A4D77EACA,116,ɕ,849,consonant
LATIN SMALL LETTER TURNED R - COMBINING INVERTED BRIDGE BELOW,ɹ,0.035815269,810FAFE2E381A78E1FFC5AEEB605942B,114,ɹ̺,2835,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE - LATIN SMALL LETTER J WITH CROSSED-TAIL,ɟʝ,0.034872762,F326C3A9DEC331359D3C189A02B5F7E5,111,ɟʝ,617,consonant
LATIN SMALL LETTER H WITH HOOK,ɦ,0.034244423,010B4A2C6472D9909A0AE8C30FA45593,109,ɦ,119,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK,ʈʂ,0.033301916,0C125CB557D530881A8F1E46A3EB6F0C,106,ʈʂ,162,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL J,k,0.031731071,96CDC886AA21A9599A0AC4EFFCDCA13F,101,kʲ,530,consonant
LATIN SMALL LETTER C - MODIFIER LETTER SMALL H,c,0.031102733,2653DF7B6901A0BABDDFBC146CF52EDE,99,cʰ,321,consonant
LATIN SMALL LETTER M - MODIFIER LETTER TRIANGULAR COLON,m,0.030788564,30165CD7CBD456AD23965FFF9324A6E9,98,mː,214,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER M - LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B,ŋmɡb,0.029846057,8EB42EA410A32B30095194B613991F57,95,ŋmɡb,637,consonant
LATIN SMALL LETTER N - MODIFIER LETTER TRIANGULAR COLON,n,0.029217719,0A6EAA5C52B5FA8BF685047F7CE47780,93,nː,215,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER M,ŋm,0.02890355,9D6EBFB925E507CEC3D4A539BFD0BF08,92,ŋm,613,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER D,d|d,0.02890355,326504A3332E93827FDE6BBC07CE6CB7,92,d̪|d,750,consonant
LATIN SMALL LETTER Z WITH RETROFLEX HOOK,ʐ,0.028589381,9EBF00B0DFB3E7F964B97DB54E9A36FD,91,ʐ,300,consonant
LATIN SMALL LETTER T - MODIFIER LETTER SMALL J,t,0.028275212,FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,90,tʲ,57,consonant
LATIN SMALL LETTER K - MODIFIER LETTER TRIANGULAR COLON,k,0.027018536,35B6E18B055F7621FA32D24600C7EDC6,86,kː,183,consonant
LATIN SMALL LETTER L - MODIFIER LETTER TRIANGULAR COLON,l,0.026704367,02CD835C8B5754AB3DB22940C8405C85,85,lː,184,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,k,0.026390198,79CFDD4943BC9A9354E6A0E965288214,84,kʷʼ,68,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE,q,0.026390198,F004A6DF8DC34AB3759000D0EEA099AC,84,qʼ,78,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL J,ɡ,0.02576186,4257BA86C575A28CFD1C21C69CDCFB5B,82,ɡʲ,557,consonant
LATIN SMALL LETTER H WITH STROKE,ħ,0.025447691,C699D862DAE3202097065A59720E60BC,81,ħ,64,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H,q,0.025447691,871B92989C5EC420B7D61B05731D1E83,81,qʰ,74,consonant
LATIN SMALL LETTER P - COMBINING LEFT ANGLE BELOW,p,0.024819353,BEEB3FC820A2CDCD6E5757882D67C46D,79,p͉,471,consonant
LATIN SMALL LETTER K - COMBINING LEFT ANGLE BELOW,k,0.024505184,1343B5A8211539ABE9F024199355A193,78,k͉,470,consonant
LATIN SMALL LETTER X - MODIFIER LETTER SMALL W,x,0.024191015,CC1E157E56BC1B4B281FF3ACD292F7DF,77,xʷ,100,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z WITH CURL,dʑ,0.024191015,67D49CEF4F04C997CD3C6E6C2D803959,77,dʑ,1037,consonant
LATIN SMALL LETTER M - COMBINING RING BELOW,m,0.023562677,3916F896B8FCC2F6FD583661E5332F28,75,m̥,239,consonant
LATIN SMALL LETTER Z WITH CURL,ʑ,0.023248508,F927B77FA49C7A849AEB78FB55268B69,74,ʑ,853,consonant
LATIN SMALL LETTER L - COMBINING RING BELOW,l,0.022934339,D47E305230AF5B8AD808EC71E2E40B0A,73,l̥,238,consonant
LATIN SMALL LETTER S - MODIFIER LETTER TRIANGULAR COLON,s,0.022934339,89F9825488A15324615819E7A614926B,73,sː,384,consonant
LATIN SMALL LETTER K - COMBINING DOUBLE VERTICAL LINE BELOW,k,0.02262017,47EFCD8477F22831BBE168B378265EE9,72,k͈,65,consonant
LATIN SMALL LETTER P - COMBINING DOUBLE VERTICAL LINE BELOW,p,0.02262017,F83357706FAC7418CD46C5450CDF5597,72,p͈,71,consonant
LATIN SMALL LETTER M - MODIFIER LETTER SMALL J,m,0.02262017,57EA8AF98F6DB6ABCCA78C07BA1F964C,72,mʲ,523,consonant
LATIN SMALL LETTER L - MODIFIER LETTER SMALL J,l,0.022306001,548D8E709B3C8F7FFB5983EA5E033D11,71,lʲ,49,consonant
LATIN SMALL LETTER V WITH HOOK,ʋ,0.022306001,5B8A0392206611F78C6A5ABCF5A4952F,71,ʋ,272,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL J,p,0.022306001,A6BC925BE30427A4ECE5EB6136535393,71,pʲ,524,consonant
LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW,z,0.022306001,88C287E17AC15E89E601F9D81D0374B5,71,z̪,595,consonant
LATIN SMALL LETTER M - MODIFIER LETTER SMALL W,m,0.021677663,2F8EC6B0EA3ECBE22B3D360AF6A330C2,69,mʷ,389,consonant
LATIN SMALL LETTER H - MODIFIER LETTER SMALL W,h,0.021049325,4E454EFC24409956D610FB858C201318,67,hʷ,431,consonant
LATIN SMALL LETTER P - MODIFIER LETTER TRIANGULAR COLON,p,0.020735156,DAA293A200C8597396725116EC9D5654,66,pː,189,consonant
LATIN SMALL LETTER T WITH CURL - COMBINING DOUBLE VERTICAL LINE BELOW,ȶ,0.020735156,45725EB9CAEF0BA078FFF0D4F5908586,66,ȶ͈,3167,consonant
LATIN SMALL LETTER B - MODIFIER LETTER TRIANGULAR COLON,b,0.020420986,97DED3C2CA0EB378AC531C0752A6906F,65,bː,203,consonant
LATIN SMALL LETTER TURNED M WITH LONG LEG,ɰ,0.020106817,62B50AA4D6AD6E1D010DD073BCD23B7E,64,ɰ,298,consonant
LATIN SMALL LETTER T WITH CURL - COMBINING LEFT ANGLE BELOW,ȶ,0.020106817,FC3E4D8C1291B0EFBBDBAD3C2CD1F45C,64,ȶ͉,3168,consonant
LATIN SMALL LETTER D - MODIFIER LETTER SMALL J,d,0.019792648,3A357AE68F00D5DFDA9501F5ED36A6C3,63,dʲ,43,consonant
GREEK SMALL LETTER CHI - MODIFIER LETTER SMALL W,χ,0.019792648,26770129337E78245F6006266F845267,63,χʷ,106,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,k,0.019478479,0C09EF7DD3A046DCF26731D2541C461C,62,kʷʰ,67,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER SMALL H,tɕ,0.019478479,9AD97C058B323C5CA6DD23386064BCB9,62,tɕʰ,907,consonant
LATIN SMALL LETTER J WITH CROSSED-TAIL,ʝ,0.01916431,A5176F73648084056F9A091440AB3FBB,61,ʝ,46,consonant
LATIN SMALL LETTER N - COMBINING RING BELOW,n,0.01916431,1328DE7368EC9B18055FBBC5445E9307,61,n̥,241,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL J,b,0.01916431,EB0AD53D3F3C5F8A82498357FBD00725,61,bʲ,622,consonant
LATIN SMALL LETTER TURNED R,ɹ,0.018850141,BF93B485560325B98EACB69D278AD493,60,ɹ,345,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER TRIANGULAR COLON,ɡ,0.018221803,A1959D41630316B7022C7F211D6599D9,58,ɡː,210,consonant
LATIN SMALL LETTER T - MODIFIER LETTER TRIANGULAR COLON,t,0.018221803,2FF610B79450F21F9661BCDB08BDC4BC,58,tː,217,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W,ŋɡ,0.018221803,AB82830F169A66AB145EF22527B96A24,58,ŋɡʷ,404,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW,ts,0.018221803,5D948F2472DF73583FDD0CCC30D60915,58,t̪s̪,875,consonant
LATIN SMALL LETTER N - MODIFIER LETTER SMALL J,n,0.017907634,9F38F051ADBEAF0BBD331FEE5F68BA0A,57,nʲ,50,consonant
LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW,b,0.017907634,584E53EB5DC897FE333F996BB3854365,57,b̤,167,consonant
LATIN LETTER PHARYNGEAL VOICED FRICATIVE,ʕ,0.017279296,55F94F929CDB58CDE9BE8333787E3A31,55,ʕ,144,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER SMALL H,ʈʂ,0.017279296,1221CD26FBA96262AA84D0449FF78413,55,ʈʂʰ,163,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL W,b,0.017279296,2060144B3E5025B6C6FAAEBAF9EC4038,55,bʷ,388,consonant
LATIN SMALL LETTER R - MODIFIER LETTER TRIANGULAR COLON,r,0.016965127,0FD087805B29DDC87A7BC2D136B0A201,54,rː,191,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER D - LATIN SMALL LETTER Z,ndz,0.016965127,6111653BBE56DBB48CBBD7F18DB2D7DF,54,ndz,370,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL H WITH HOOK,ɡ,0.016965127,2834DBE208519761437F67022B9C4607,54,ɡʱ,1380,consonant
LATIN SMALL LETTER T - COMBINING LEFT ANGLE BELOW,t,0.016650958,BFAF291F613B814E705A22447A01457C,53,t͉,472,consonant
LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,s,0.016336789,AE22B011DAF9516E3388AF4E418B00F4,52,sʲ,56,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL W,p,0.016336789,89135AE8B291E91395AD52BAA7592587,52,pʷ,406,consonant
LATIN SMALL LETTER R - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER R,r|r,0.016336789,14691567062CBA8BCC13866FE2EFB9F5,52,r̪|r,752,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE,t,0.01602262,D3867260AB7CFE5A579FD7E8ACD31024,51,t̪ʼ,463,consonant
LATIN SMALL LETTER J - MODIFIER LETTER TRIANGULAR COLON,j,0.015708451,F3826EE83410EA00A7C1DF89AC317CAF,50,jː,182,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W,q,0.015708451,0CE464BCDDF6D25FC3C1DF3C67CE1C91,50,qʷ,436,consonant
LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA - MODIFIER LETTER SMALL H,cç,0.015394282,77FB1967C8D16A666F18E8A4E9CB2CFD,49,cçʰ,292,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H - VERTICAL LINE - LATIN SMALL LETTER T - MODIFIER LETTER SMALL H,t|t,0.015394282,480CBF0F44AB37272F0C1FF3239975F4,49,t̪ʰ|tʰ,754,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER Z,nz,0.015080113,B6A183CD49975B9F63B7F4EA8CE885F6,48,nz,512,consonant
LATIN SMALL LETTER LEZH,ɮ,0.015080113,8AB7F55EAB4F34299B9887A4F4BCF42F,48,ɮ,563,consonant
LATIN SMALL LETTER M WITH HOOK - LATIN SMALL LETTER V,ɱv,0.015080113,78ECCEC98B7CCA643E9C420750F7D4B1,48,ɱv,947,consonant
LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW,t,0.014765944,EE5AC204287B3AF89F3166256CDE5559,47,t͈,85,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER TRIANGULAR COLON,ʃ,0.014765944,11BA86428BB2A632682677515F0DED9A,47,ʃː,414,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK,ʄ,0.014765944,434450844FAF9386CA9AD2E0E919570E,47,ʄ,562,consonant
LATIN LETTER SMALL CAPITAL G,ɢ,0.014451775,ED74AF5019F80FF5E1F4E598F0085639,46,ɢ,62,consonant
LATIN SMALL LETTER D WITH TAIL - LATIN SMALL LETTER Z WITH RETROFLEX HOOK,ɖʐ,0.014451775,D418E761F17614DCFCAE81181526DD99,46,ɖʐ,158,consonant
LATIN SMALL LETTER TURNED H,ɥ,0.014451775,1D99DEE96BB19529DC9E5ED7FA7BF68B,46,ɥ,297,consonant
LATIN SMALL LETTER F - MODIFIER LETTER TRIANGULAR COLON,f,0.014451775,1AEE2DB972C8FD9AFB48C4C1B451C729,46,fː,408,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - COMBINING LEFT ANGLE BELOW,ʈ,0.014451775,D4316B4C3FE69E13E46040B26B53B05B,46,ʈ͉,505,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW,n,0.014451775,617E525C3B9564276DBE1D819C09EF03,46,n̠,763,consonant
LATIN SMALL LETTER T - MODIFIER LETTER SMALL W,t,0.014451775,70D47EBCFC5479169386FAF413D83AE8,46,tʷ,1296,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER T - LATIN SMALL LETTER S,ts|ts,0.014137606,C5D82CC0BB40EACDF4A3B30902FA71D0,45,t̪s̪|ts,777,consonant
